best_epoch,cell,checkpoint_metric,dataset,n_params,seed,split,test_AUC-ROC,test_PR-AUC,test_accuracy,val_AUC-ROC,val_PR-AUC,val_accuracy,wall_time_sec
,v2ft_ep1_google_gemma-2-2b-it_ideal_seed42,AUC-ROC(LLM-zs),ddibn,,,S2,0.562522,0.58529,0.550335,,,,0
,v2ft_ep2_Qwen_Qwen2.5-3B-Instruct_ideal_seed42,AUC-ROC(LLM-zs),ddibn,,,S2,0.722019,0.759895,0.637626,,,,0
,v2ft_ep1_microsoft_Phi-3.5-mini-instruct_ideal_seed42,AUC-ROC(LLM-zs),ddibn,,,S1,0.856789,0.853869,0.761214,,,,0
,v2ft_ep2_google_gemma-2-2b-it_ideal_seed42,AUC-ROC(LLM-zs),ddibn,,,S2,0.560456,0.586966,0.534389,,,,0
,v2ft_ep1_microsoft_phi-4_ideal_seed42,AUC-ROC(LLM-zs),ddibn,,,S1,0.861928,0.852648,0.742467,,,,0
,v2ft_ep1_Qwen_Qwen2.5-3B-Instruct_ideal_seed42,AUC-ROC(LLM-zs),ddibn,,,S1,0.898204,0.892388,0.815242,,,,0
,v2ft_ep1_microsoft_Phi-3.5-mini-instruct_ideal_genes_seed42,AUC-ROC(LLM-zs),ddibn,,,S2,0.638622,0.636433,0.566895,,,,0
,v2ft_ep2_microsoft_Phi-3.5-mini-instruct_ideal_genes_seed42,AUC-ROC(LLM-zs),ddibn,,,S1,0.871748,0.867935,0.792659,,,,0
,v2ft_ep2_microsoft_Phi-3.5-mini-instruct_ideal_genes_seed42,AUC-ROC(LLM-zs),ddibn,,,S2,0.651305,0.664443,0.61004,,,,0
,v2ft_ep1_microsoft_phi-4_ideal_genes_seed42,AUC-ROC(LLM-zs),ddibn,,,S1,0.858481,0.856617,0.731341,,,,0
,v2ft_ep1_Qwen_Qwen2.5-3B-Instruct_ideal_genes_seed42,AUC-ROC(LLM-zs),ddibn,,,S1,0.886702,0.890667,0.807287,,,,0
,v2ft_ep1_microsoft_phi-4_ideal_genes_seed42,AUC-ROC(LLM-zs),ddibn,,,S2,0.64414,0.683809,0.538146,,,,0
,v2ft_ep2_Qwen_Qwen2.5-3B-Instruct_ideal_seed42,AUC-ROC(LLM-zs),ddibn,,,S1,0.895862,0.895519,0.814692,,,,0
,v2ft_ep2_microsoft_phi-4_ideal_genes_seed42,AUC-ROC(LLM-zs),ddibn,,,S2,0.570526,0.59372,0.562465,,,,0
,v2ft_ep1_google_gemma-2-2b-it_ideal_seed42,AUC-ROC(LLM-zs),ddibn,,,S1,0.857185,0.857529,0.786276,,,,0
,v2ft_ep2_Qwen_Qwen2.5-3B-Instruct_ideal_genes_seed42,AUC-ROC(LLM-zs),ddibn,,,S1,0.89587,0.898951,0.817282,,,,0
,v2ft_ep1_Qwen_Qwen2.5-3B-Instruct_ideal_genes_seed42,AUC-ROC(LLM-zs),ddibn,,,S2,0.687895,0.716726,0.642352,,,,0
,v2ft_ep2_Qwen_Qwen2.5-3B-Instruct_ideal_genes_seed42,AUC-ROC(LLM-zs),ddibn,,,S2,0.69866,0.731601,0.65122,,,,0
,v2ft_ep2_google_gemma-2-2b-it_ideal_seed42,AUC-ROC(LLM-zs),ddibn,,,S1,0.863043,0.865706,0.789163,,,,0
,v2ft_ep1_Qwen_Qwen2.5-3B-Instruct_ideal_seed42,AUC-ROC(LLM-zs),ddibn,,,S0,0.976768,0.979627,0.888921,,,,0
,v2ft_ep2_Qwen_Qwen2.5-3B-Instruct_ideal_seed42,AUC-ROC(LLM-zs),ddibn,,,S0,0.97768,0.980113,0.890403,,,,0
,v2ft_ep1_Qwen_Qwen2.5-14B-Instruct_real_seed42,AUC-ROC(LLM-zs),ddibn,,,S0,0.560779,0.5877,0.5,,,,0
,v2ft_ep2_Qwen_Qwen2.5-14B-Instruct_real_seed42,AUC-ROC(LLM-zs),ddibn,,,S0,0.97078,0.974061,0.824683,,,,0
,v2ft_ep1_Qwen_Qwen2.5-14B-Instruct_real_seed42,AUC-ROC(LLM-zs),ddibn,,,S1,0.583384,0.584987,0.5,,,,0
,v2ft_ep2_Qwen_Qwen2.5-14B-Instruct_real_seed42,AUC-ROC(LLM-zs),ddibn,,,S1,0.799769,0.782884,0.680465,,,,0
,v2ft_ep1_Qwen_Qwen2.5-14B-Instruct_real_seed42,AUC-ROC(LLM-zs),ddibn,,,S2,0.558018,0.586001,0.5,,,,0
