type_0,type_1,type_2,type_3,type_4,type_5,type_6,type_7,type_8,type_9,type_10,type_11,type_12,type_13,type_14,type_15,type_16,type_17,type_18,type_19,type_20,type_21,type_22,type_23,type_24,type_25,type_26,type_27,type_28,type_29,type_30,type_31,type_32,type_33,type_34,type_35,type_36,type_37,type_38,type_39,type_40,type_41,type_42,type_43,type_44,type_45,type_46,type_47,type_48,type_49,type_50,type_51,type_52,type_53,type_54,type_55,type_56,type_57,type_58,type_59,type_60,type_61,type_62,type_63,type_64,type_65,type_66,type_67,type_68,type_69,type_70,type_71,type_72,type_73,type_74,type_75,type_76,type_77,type_78,type_79,type_80,type_81,type_82,type_83,type_84,type_85,type_86,type_87,type_88,type_89,type_90,type_91,type_92,type_93,type_94,type_95,type_96,type_97,type_98,type_99,type_100,type_101,type_102,type_103,type_104,type_105,type_106,type_107,type_108,type_109,type_110,type_111,type_112,type_113,type_114,type_115,type_116,type_117,type_118,type_119,type_120,type_121,type_122,type_123,type_124,type_125,type_126,type_127,type_128,type_129,type_130,type_131,type_132,type_133,type_134,type_135,type_136,type_137,type_138,type_139,type_140,type_141,type_142,type_143,type_144,type_145,type_146,type_147,type_148,type_149,type_150,type_151,type_152,type_153,type_154,type_155,type_156,type_157,type_158,type_159,type_160,type_161,type_162,type_163,type_164,type_165,type_166,type_167,type_168,type_169,type_170,type_171,type_172,type_173,type_174,type_175,type_176,type_177,type_178,type_179,type_180,type_181,type_182,type_183,type_184,type_185,type_186,type_187,type_188,type_189,type_190,type_191,type_192,type_193,type_194,type_195,type_196,type_197,type_198,type_199,type_200,type_201,type_202,type_203,type_204,type_205,type_206,type_207,type_208
0.812093,0.786366,0.775174,0.848533,0.753168,0.786047,0.788525,0.801401,0.827648,0.774701,0.792193,0.77043,0.781568,0.773687,0.816445,0.759926,0.747104,0.837472,0.791701,0.769874,0.80963,0.821352,0.796042,0.785129,0.800808,0.801301,0.79865,0.824059,0.77995,0.801727,0.807969,0.752963,0.810765,0.800861,0.786088,0.840615,0.793878,0.804809,0.77063,0.812937,0.816131,0.771336,0.782031,0.806788,0.840357,0.837992,0.780176,0.838621,0.799672,0.83061,0.796335,0.805408,0.787866,0.793813,0.80406,0.828174,0.797337,0.814881,0.807363,0.814625,0.805488,0.826565,0.784109,0.805758,0.747143,0.806629,0.810684,0.834405,0.778203,0.836638,0.788646,0.822106,0.800558,0.853384,0.828809,0.811803,0.836603,0.796954,0.792648,0.825036,0.789742,0.809508,0.812667,0.782383,0.82735,0.774259,0.833192,0.754469,0.841711,0.789048,0.800926,0.797431,0.790934,0.772491,0.825357,0.790826,0.830445,0.775363,0.831109,0.810212,0.812546,0.834428,0.831433,0.836953,0.793283,0.788841,0.79928,0.824415,0.8312,0.816645,0.745687,0.822812,0.82907,0.776566,0.824088,0.793797,0.798491,0.820222,0.827421,0.829384,0.763039,0.83508,0.824199,0.769788,0.83105,0.765645,0.834372,0.840698,0.819112,0.79957,0.813324,0.858459,0.826509,0.775281,0.752647,0.802441,0.800088,0.78945,0.819037,0.754694,0.880698,0.821684,0.779463,0.829828,0.832479,0.826377,0.802576,0.802694,0.828616,0.812342,0.778945,0.80102,0.769845,0.8039,0.776676,0.744913,0.827298,0.79265,0.80499,0.759003,0.764965,0.846102,0.867725,0.835163,0.817894,0.83297,0.846465,0.830697,0.829134,0.762289,0.832668,0.823656,0.855638,0.821852,0.80716,0.85443,0.739722,0.817297,0.777955,0.805517,0.863269,0.796825,0.80228,0.854133,0.757051,0.828791,0.836577,0.823184,0.836142,0.865449,0.807778,0.810206,0.852537,0.794479,0.837118,0.810044,0.807346,0.824318,0.843779,0.806304,0.834491,0.813918,0.791237,0.826096,0.799265,0.783251,0.74509,0.817337,0.788851
0.798533,0.777763,0.765214,0.860961,0.758832,0.780169,0.787789,0.813376,0.831651,0.759664,0.77913,0.772023,0.790221,0.79031,0.801098,0.785847,0.758802,0.842526,0.783034,0.766797,0.806031,0.816983,0.799186,0.78237,0.794044,0.791783,0.797141,0.812203,0.785863,0.800564,0.795414,0.751288,0.811015,0.810486,0.787863,0.830631,0.783677,0.81064,0.767217,0.829028,0.818892,0.778667,0.785369,0.808416,0.824639,0.843693,0.775063,0.826098,0.802214,0.822559,0.805559,0.790732,0.777903,0.79277,0.792638,0.832711,0.81137,0.806214,0.803342,0.814109,0.809629,0.838963,0.770745,0.808266,0.774471,0.800027,0.82214,0.827074,0.792033,0.824125,0.795641,0.825096,0.787601,0.857956,0.832633,0.812001,0.818342,0.80172,0.769265,0.807123,0.778552,0.813279,0.815409,0.787363,0.82984,0.768226,0.809773,0.745746,0.851554,0.799495,0.819548,0.787885,0.77897,0.758988,0.85168,0.804916,0.824911,0.792917,0.826174,0.816848,0.814221,0.83961,0.831318,0.842076,0.789776,0.788469,0.809877,0.81258,0.835863,0.813909,0.747203,0.845791,0.826875,0.761279,0.812391,0.799728,0.805151,0.804788,0.809448,0.832373,0.76995,0.83756,0.823133,0.795248,0.798623,0.766802,0.832201,0.835315,0.804203,0.791978,0.826669,0.866518,0.828539,0.785428,0.754275,0.792803,0.781568,0.782795,0.791997,0.74248,0.877431,0.826356,0.795787,0.810193,0.834125,0.819688,0.801427,0.812936,0.826145,0.820149,0.793802,0.809816,0.778463,0.801867,0.779808,0.747404,0.82493,0.799181,0.820174,0.75741,0.742838,0.855837,0.866925,0.833481,0.83057,0.831013,0.841245,0.806204,0.802848,0.746678,0.82857,0.819033,0.864579,0.811813,0.807162,0.857313,0.729288,0.839051,0.775898,0.815599,0.859994,0.795158,0.768048,0.835987,0.765259,0.852932,0.841636,0.820932,0.820292,0.867005,0.807999,0.816429,0.861336,0.799234,0.83831,0.81841,0.805495,0.812762,0.837162,0.811353,0.821692,0.801805,0.802824,0.842412,0.793774,0.770479,0.752554,0.823915,0.803254
0.728013,0.721757,0.703812,0.759259,0.688259,0.71021,0.716418,0.721461,0.757329,0.711191,0.712644,0.687107,0.69708,0.704887,0.740072,0.713462,0.69,0.762,0.721649,0.706406,0.725379,0.736111,0.736486,0.713768,0.736434,0.742268,0.714912,0.745875,0.718391,0.732422,0.739062,0.688889,0.735849,0.730627,0.711321,0.759076,0.733871,0.727083,0.711864,0.730216,0.725857,0.712062,0.705128,0.726872,0.774131,0.752768,0.708,0.756198,0.725207,0.725322,0.721461,0.721338,0.730932,0.732639,0.731939,0.756356,0.735577,0.722015,0.733645,0.747748,0.72467,0.742105,0.71934,0.745283,0.690476,0.737288,0.7343,0.767241,0.700382,0.757485,0.691748,0.739336,0.75,0.785714,0.756522,0.742489,0.757092,0.730159,0.719149,0.758974,0.724066,0.731527,0.737069,0.698276,0.7525,0.698454,0.745283,0.674888,0.764019,0.715976,0.730198,0.751244,0.710938,0.711735,0.746429,0.708333,0.755906,0.682353,0.767442,0.733173,0.771889,0.769802,0.75,0.764151,0.702073,0.703791,0.731579,0.767241,0.751309,0.755411,0.663366,0.723118,0.752273,0.708333,0.742718,0.734848,0.727979,0.722222,0.75,0.75,0.710811,0.748634,0.752688,0.689873,0.770053,0.702312,0.761538,0.772727,0.728495,0.715426,0.757895,0.777778,0.739224,0.705405,0.696023,0.732804,0.733146,0.698492,0.747685,0.682143,0.79697,0.719512,0.70442,0.756906,0.746835,0.769939,0.728947,0.712366,0.746032,0.736264,0.722603,0.738095,0.706897,0.72619,0.721053,0.676471,0.757143,0.739837,0.741135,0.716374,0.712329,0.751445,0.791391,0.765957,0.743902,0.761438,0.762857,0.746269,0.756684,0.709677,0.758454,0.729814,0.76601,0.730556,0.733491,0.784153,0.675,0.734177,0.71131,0.716049,0.781579,0.744681,0.752717,0.775,0.696429,0.748322,0.762255,0.732258,0.766667,0.785714,0.762195,0.722222,0.783019,0.727273,0.760274,0.707792,0.719136,0.757225,0.772727,0.736527,0.763699,0.747283,0.705298,0.758993,0.712418,0.709091,0.676056,0.743671,0.726351
0.726678,0.726899,0.707246,0.749465,0.688259,0.721501,0.724638,0.732456,0.757724,0.717314,0.71374,0.682616,0.713793,0.699809,0.73913,0.701403,0.677755,0.760563,0.722603,0.70377,0.732965,0.738532,0.729167,0.726644,0.730159,0.738676,0.716157,0.741611,0.712329,0.72211,0.743472,0.685393,0.735849,0.731618,0.714019,0.768987,0.728767,0.73428,0.724696,0.734043,0.725,0.715385,0.719023,0.725664,0.783734,0.758993,0.704453,0.771318,0.733467,0.729958,0.725225,0.712644,0.728051,0.733564,0.738404,0.752688,0.739336,0.731532,0.746667,0.748879,0.725275,0.75,0.721311,0.745283,0.68599,0.741667,0.725,0.763158,0.690335,0.755287,0.705336,0.741784,0.751131,0.795604,0.759657,0.744681,0.763385,0.722826,0.729508,0.766169,0.737673,0.736077,0.731278,0.675926,0.749367,0.70529,0.746479,0.684096,0.774049,0.714286,0.738609,0.748744,0.714653,0.719603,0.756014,0.712821,0.754941,0.694915,0.768519,0.747153,0.772414,0.774818,0.750572,0.778761,0.70437,0.704492,0.725806,0.782842,0.763092,0.754881,0.661692,0.737913,0.761488,0.721174,0.741463,0.734177,0.721485,0.713542,0.756164,0.75419,0.713137,0.748634,0.762887,0.675497,0.767568,0.706553,0.754617,0.771242,0.727763,0.717678,0.759162,0.775401,0.738661,0.70137,0.703601,0.729223,0.738292,0.705882,0.7471,0.676364,0.804665,0.716049,0.713137,0.756906,0.745223,0.767802,0.725333,0.729114,0.753846,0.743316,0.730897,0.747126,0.699647,0.735632,0.718085,0.662577,0.760563,0.739837,0.750853,0.725212,0.710345,0.762431,0.793443,0.774359,0.749403,0.775385,0.77628,0.744361,0.757333,0.701987,0.756098,0.727273,0.772182,0.726761,0.73031,0.784741,0.682927,0.729032,0.717201,0.719512,0.793017,0.75,0.761155,0.777385,0.7,0.744027,0.76399,0.74772,0.770492,0.792453,0.763636,0.723247,0.786378,0.735294,0.768212,0.71519,0.736232,0.761364,0.777778,0.744186,0.77377,0.749326,0.721003,0.756364,0.730061,0.714286,0.676056,0.756757,0.707581
0.86,0.88,0.88,0.96,0.9,0.9,0.94,0.96,0.96,0.88,0.9,0.9,0.94,0.92,0.9,0.98,0.94,0.94,0.9,0.88,0.92,0.9,0.9,0.9,0.92,0.86,0.92,0.94,0.96,0.86,0.9,0.92,0.94,0.96,0.94,0.92,0.88,0.94,0.88,0.98,0.98,0.92,0.88,0.92,0.92,0.96,0.82,0.92,0.94,0.88,0.94,0.94,0.86,0.9,0.86,0.98,0.92,0.9,0.92,0.94,0.94,0.94,0.86,0.96,0.92,0.96,1.0,0.92,0.96,0.9,0.94,0.9,0.88,0.92,0.96,0.92,0.92,0.92,0.88,0.92,0.92,0.94,0.94,0.92,0.94,0.88,0.86,0.88,0.96,0.92,0.96,0.9,0.88,0.86,0.96,0.94,0.96,0.94,0.96,0.94,0.92,0.96,0.98,1.0,0.92,0.88,0.9,0.9,0.94,0.92,0.9,1.0,0.94,0.86,0.92,0.9,0.9,0.92,0.82,0.94,0.9,0.98,0.96,0.92,0.88,0.84,0.94,0.92,0.92,0.86,0.96,0.98,0.94,0.9,0.84,0.9,0.84,0.92,0.88,0.8,0.96,0.94,0.94,0.88,0.96,0.9,0.94,0.94,0.94,0.96,0.9,0.92,0.88,0.9,0.92,0.84,0.9,0.9,0.86,0.86,0.78,0.96,0.96,0.88,0.98,0.92,0.9,0.86,0.88,0.8,0.92,0.94,0.98,0.9,0.9,0.94,0.74,0.98,0.86,0.84,0.98,0.9,0.82,0.9,0.88,0.98,0.98,0.9,0.92,0.94,0.9,0.88,0.98,0.78,0.92,0.9,0.9,0.88,0.88,0.88,0.9,0.88,0.92,0.94,0.86,0.88,0.82,0.96,0.88
0.729642,0.728033,0.70088,0.765432,0.688259,0.708709,0.708955,0.721461,0.7557,0.725632,0.716475,0.688679,0.708029,0.695489,0.740072,0.7,0.684,0.76,0.718213,0.704626,0.738636,0.74537,0.733108,0.721014,0.74031,0.738832,0.714912,0.745875,0.720307,0.738281,0.746875,0.7,0.735849,0.734317,0.709434,0.759076,0.736559,0.741667,0.70339,0.73741,0.728972,0.712062,0.721612,0.722467,0.783784,0.763838,0.704,0.764463,0.727273,0.733906,0.721461,0.719745,0.724576,0.736111,0.73384,0.75,0.730769,0.723881,0.752336,0.747748,0.726872,0.752632,0.726415,0.745283,0.685714,0.728814,0.743961,0.75431,0.694656,0.760479,0.713592,0.744076,0.754545,0.778802,0.756522,0.733906,0.762411,0.724868,0.719149,0.74359,0.726141,0.743842,0.737069,0.702586,0.745,0.701031,0.75,0.663677,0.771028,0.715976,0.722772,0.741294,0.703125,0.714286,0.75,0.71875,0.751969,0.694118,0.767442,0.730769,0.769585,0.772277,0.752294,0.754717,0.704663,0.701422,0.731579,0.747126,0.764398,0.757576,0.663366,0.741935,0.75,0.719298,0.737864,0.732323,0.720207,0.727273,0.741573,0.755682,0.713513,0.748634,0.747312,0.683544,0.775401,0.699422,0.753846,0.766234,0.731183,0.718085,0.752632,0.777778,0.741379,0.697297,0.693182,0.73545,0.724719,0.698492,0.75,0.664286,0.806061,0.713415,0.707182,0.756906,0.740506,0.773006,0.726316,0.731183,0.761905,0.736264,0.739726,0.72619,0.703448,0.728571,0.721053,0.670588,0.765714,0.739837,0.751773,0.71345,0.712329,0.745665,0.788079,0.760638,0.741463,0.764706,0.782857,0.746269,0.754011,0.709677,0.763285,0.726708,0.778325,0.733333,0.726415,0.786885,0.675,0.727848,0.702381,0.728395,0.784211,0.75,0.75,0.771429,0.690476,0.744966,0.764706,0.741935,0.761111,0.785714,0.762195,0.725926,0.779874,0.719697,0.773973,0.720779,0.722222,0.739884,0.765152,0.730539,0.760274,0.744565,0.721854,0.755396,0.72549,0.709091,0.676056,0.746835,0.716216
