best_epoch,cell,checkpoint_metric,dataset,n_params,seed,split,test_AUC-ROC,test_P@50,test_P@N2,test_PR-AUC,test_accuracy,test_macro-F1,val_AUC-ROC,val_P@50,val_P@N2,val_PR-AUC,val_accuracy,val_macro-F1,wall_time_sec
28,13,accuracy,ddibn,158289,42,S0,0.978706,0.984689,0.928354,0.980302,0.928074,0.927675,0.978384,0.983158,0.930613,0.981173,0.932246,0.931911,159.5
11,13,accuracy,ddibn,158289,42,S1,0.785377,0.894641,0.712583,0.786516,0.711736,0.711211,0.788404,0.857225,0.730619,0.781204,0.730214,0.729202,159.5
26,13,accuracy,ddibn,158289,42,S2,0.416599,0.483158,0.396142,0.508994,0.502041,0.314567,0.437922,0.488995,0.4072,0.529299,0.524576,0.318692,159.5
44,13,accuracy,ddibn,158289,124,S0,0.983085,0.990813,0.937745,0.985412,0.938903,0.937363,0.981486,0.985742,0.936812,0.984282,0.936545,0.935353,247.9
14,13,accuracy,ddibn,158289,124,S1,0.79653,0.882584,0.720858,0.792046,0.705941,0.670841,0.79077,0.845646,0.724097,0.776836,0.698115,0.655549,247.9
44,13,accuracy,ddibn,158289,124,S2,0.439038,0.490526,0.425351,0.510772,0.526412,0.296769,0.468785,0.499043,0.433418,0.537218,0.530711,0.275875,247.9
62,13,accuracy,ddibn,158289,0,S0,0.984782,0.992344,0.939121,0.986983,0.939034,0.938716,0.982495,0.986029,0.9385,0.985125,0.936868,0.936849,337.0
9,13,accuracy,ddibn,158289,0,S1,0.769687,0.871866,0.704472,0.76803,0.694694,0.676823,0.770808,0.835789,0.711239,0.76079,0.702757,0.687715,337.0
40,13,accuracy,ddibn,158289,0,S2,0.427069,0.487081,0.417755,0.504187,0.481242,0.296225,0.450076,0.49512,0.424943,0.527084,0.519216,0.311019,337.0
