type_0,type_1,type_2,type_3,type_4,type_5,type_6,type_7,type_8,type_9,type_10,type_11,type_12,type_13,type_14,type_15,type_16,type_17,type_18,type_19,type_20,type_21,type_22,type_23,type_24,type_25,type_26,type_27,type_28,type_29,type_30,type_31,type_32,type_33,type_34,type_35,type_36,type_37,type_38,type_39,type_40,type_41,type_42,type_43,type_44,type_45,type_46,type_47,type_48,type_49,type_50,type_51,type_52,type_53,type_54,type_55,type_56,type_57,type_58,type_59,type_60,type_61,type_62,type_63,type_64,type_65,type_66,type_67,type_68,type_69,type_70,type_71,type_72,type_73,type_74,type_75,type_76,type_77,type_78,type_79,type_80,type_81,type_82,type_83,type_84,type_85,type_86,type_87,type_88,type_89,type_90,type_91,type_92,type_93,type_94,type_95,type_96,type_97,type_98,type_99,type_100,type_101,type_102,type_103,type_104,type_105,type_106,type_107,type_108,type_109,type_110,type_111,type_112,type_113,type_114,type_115,type_116,type_117,type_118,type_119,type_120,type_121,type_122,type_123,type_124,type_125,type_126,type_127,type_128,type_129,type_130,type_131,type_132,type_133,type_134,type_135,type_136,type_137,type_138,type_139,type_140,type_141,type_142,type_143,type_144,type_145,type_146,type_147,type_148,type_149,type_150,type_151,type_152,type_153,type_154,type_155,type_156,type_157,type_158,type_159,type_160,type_161,type_162,type_163,type_164,type_165,type_166,type_167,type_168,type_169,type_170,type_171,type_172,type_173,type_174,type_175,type_176,type_177,type_178,type_179,type_180,type_181,type_182,type_183,type_184,type_185,type_186,type_187,type_188,type_189,type_190,type_191,type_192,type_193,type_194,type_195,type_196,type_197,type_198,type_199,type_200,type_201,type_202,type_203,type_204,type_205,type_206,type_207,type_208
0.836836,0.851141,0.78607,0.830073,0.792375,0.807204,0.808045,0.798732,0.84889,0.786209,0.823432,0.789249,0.82523,0.818842,0.850396,0.82804,0.825632,0.85144,0.826832,0.838237,0.817766,0.833376,0.838511,0.814692,0.845096,0.859201,0.82385,0.84068,0.823006,0.840271,0.799961,0.818134,0.838818,0.864626,0.813742,0.826945,0.826685,0.841267,0.797167,0.841067,0.840568,0.839256,0.837446,0.790662,0.828715,0.813687,0.843024,0.846066,0.841609,0.826134,0.788203,0.824293,0.827654,0.822893,0.822724,0.833722,0.803948,0.829361,0.824089,0.859062,0.823071,0.825568,0.786134,0.816549,0.799773,0.821136,0.840673,0.85421,0.859667,0.831116,0.858399,0.854788,0.821281,0.850729,0.825614,0.841496,0.82272,0.879119,0.804762,0.834767,0.810144,0.848965,0.83721,0.848098,0.878725,0.81329,0.838532,0.8155,0.848043,0.868457,0.812812,0.813544,0.860867,0.785168,0.851327,0.825358,0.847836,0.772803,0.83457,0.752681,0.804625,0.861166,0.867688,0.83455,0.820747,0.817861,0.822382,0.794293,0.836353,0.845318,0.802593,0.808562,0.816178,0.803459,0.813578,0.86407,0.86405,0.859122,0.877351,0.831192,0.830095,0.87578,0.809371,0.828473,0.843032,0.803802,0.836239,0.887165,0.835993,0.812896,0.840554,0.84211,0.853337,0.840263,0.756553,0.844657,0.839635,0.796748,0.797668,0.785306,0.822369,0.825662,0.808095,0.840817,0.845057,0.875946,0.850471,0.825731,0.815935,0.813911,0.762995,0.819338,0.78069,0.825964,0.796731,0.822007,0.792751,0.809505,0.843972,0.809548,0.762948,0.871262,0.828779,0.851092,0.841927,0.87932,0.85009,0.867788,0.840773,0.815151,0.840696,0.807068,0.847218,0.840648,0.858602,0.842934,0.808264,0.789737,0.81661,0.8738,0.8459,0.821214,0.77425,0.867347,0.84049,0.850637,0.854191,0.858481,0.852068,0.872618,0.821498,0.809822,0.846209,0.764291,0.879621,0.803677,0.770348,0.860436,0.84441,0.829861,0.8427,0.811555,0.834349,0.796284,0.818959,0.829238,0.808223,0.811529,0.83487
0.826232,0.860495,0.784392,0.837223,0.773337,0.805022,0.809265,0.809159,0.839756,0.803656,0.819518,0.795647,0.836812,0.822865,0.847028,0.83767,0.827806,0.852365,0.826907,0.8307,0.827128,0.826658,0.835511,0.815711,0.852037,0.866478,0.830101,0.850667,0.831323,0.85146,0.792623,0.82705,0.849853,0.867599,0.80567,0.832242,0.823776,0.846959,0.801659,0.851699,0.837467,0.851825,0.826183,0.799246,0.808383,0.813479,0.844789,0.842,0.847031,0.831748,0.79838,0.815097,0.811029,0.823584,0.824756,0.831539,0.81798,0.837236,0.802548,0.861797,0.825332,0.82386,0.78566,0.798431,0.811015,0.812351,0.844598,0.846348,0.86098,0.81303,0.848873,0.83919,0.818844,0.861749,0.837179,0.8487,0.805759,0.876364,0.808619,0.832724,0.804148,0.847444,0.841279,0.865535,0.884058,0.795545,0.835681,0.815907,0.843518,0.872185,0.821083,0.813864,0.854782,0.768038,0.854507,0.833888,0.85498,0.780626,0.84801,0.743166,0.822033,0.867491,0.869434,0.837532,0.817132,0.825418,0.83136,0.79182,0.853094,0.844547,0.806683,0.794659,0.819768,0.803462,0.829756,0.863165,0.863567,0.85888,0.875492,0.844068,0.827522,0.881264,0.809592,0.834681,0.839132,0.812152,0.83963,0.895533,0.838636,0.80906,0.846195,0.844216,0.863432,0.848596,0.749304,0.847604,0.847727,0.805199,0.802106,0.775378,0.810846,0.81138,0.821294,0.844545,0.85159,0.87375,0.863198,0.824547,0.821783,0.83633,0.750222,0.822845,0.808227,0.831761,0.818939,0.828516,0.808944,0.794908,0.838095,0.811752,0.778304,0.877834,0.833546,0.842463,0.855418,0.874784,0.845912,0.868128,0.846655,0.820723,0.851725,0.80373,0.85394,0.852918,0.852655,0.842844,0.811874,0.784584,0.834856,0.878367,0.845148,0.81987,0.770854,0.86355,0.84364,0.853675,0.854189,0.859264,0.853887,0.869373,0.828268,0.813825,0.85138,0.748324,0.889965,0.80065,0.780484,0.86655,0.850895,0.835704,0.841709,0.82256,0.817378,0.802542,0.818353,0.84329,0.810844,0.805021,0.853161
0.558632,0.550209,0.536657,0.557613,0.532389,0.554054,0.548507,0.577626,0.529316,0.559567,0.54023,0.54717,0.565693,0.571429,0.563177,0.555769,0.54,0.534,0.546392,0.55516,0.551136,0.50463,0.516892,0.561594,0.55814,0.551546,0.574561,0.551155,0.55364,0.548828,0.535937,0.548148,0.571698,0.54428,0.550943,0.561056,0.540323,0.547917,0.565678,0.552158,0.551402,0.554475,0.56044,0.559471,0.513514,0.527675,0.548,0.522727,0.566116,0.549356,0.570776,0.517516,0.550847,0.524306,0.54943,0.572034,0.545673,0.537313,0.556075,0.558559,0.524229,0.602632,0.533019,0.528302,0.57381,0.521186,0.504831,0.517241,0.540076,0.550898,0.563107,0.559242,0.527273,0.550691,0.541304,0.551502,0.526596,0.550265,0.568085,0.533333,0.547718,0.53202,0.56681,0.560345,0.565,0.536082,0.561321,0.549327,0.516355,0.573964,0.574257,0.507463,0.572917,0.545918,0.571429,0.557292,0.511811,0.555882,0.54186,0.536058,0.557604,0.534653,0.541284,0.549528,0.57772,0.582938,0.552632,0.563218,0.513089,0.530303,0.566832,0.572581,0.586364,0.532895,0.538835,0.512626,0.528497,0.570707,0.547753,0.536932,0.551351,0.540984,0.561828,0.566456,0.561497,0.586705,0.510256,0.519481,0.572581,0.558511,0.552632,0.550265,0.575431,0.564865,0.534091,0.52381,0.578652,0.532663,0.520833,0.535714,0.521212,0.542683,0.552486,0.549724,0.518987,0.539877,0.536842,0.567204,0.566138,0.568681,0.537671,0.550595,0.555172,0.542857,0.526316,0.555882,0.574286,0.560976,0.574468,0.54386,0.554795,0.508671,0.519868,0.534574,0.560976,0.594771,0.557143,0.55597,0.5,0.567742,0.52657,0.537267,0.554187,0.563889,0.556604,0.540984,0.583333,0.518987,0.529762,0.574074,0.523684,0.547872,0.532609,0.575,0.532738,0.563758,0.539216,0.522581,0.536111,0.525974,0.542683,0.559259,0.531447,0.549242,0.609589,0.558442,0.537037,0.552023,0.534091,0.562874,0.503425,0.559783,0.559603,0.582734,0.54902,0.578788,0.521127,0.509494,0.557432
0.223496,0.18251,0.141304,0.218182,0.141264,0.203753,0.182432,0.27451,0.110769,0.212903,0.15493,0.172414,0.237179,0.25,0.234177,0.206186,0.154412,0.127341,0.169811,0.203822,0.185567,0.018349,0.065359,0.229299,0.213793,0.186916,0.270677,0.190476,0.193772,0.177936,0.144092,0.186667,0.255738,0.162712,0.195946,0.217647,0.157635,0.174905,0.237918,0.188925,0.186441,0.196491,0.220779,0.21875,0.059701,0.104895,0.181159,0.094118,0.23913,0.179688,0.259843,0.067692,0.19697,0.098684,0.185567,0.257353,0.174672,0.144828,0.227642,0.216,0.092437,0.351931,0.131579,0.115044,0.263374,0.08871,0.019139,0.07438,0.14841,0.193548,0.230769,0.218487,0.118644,0.1841,0.15261,0.18677,0.107023,0.182692,0.245353,0.133333,0.186567,0.12844,0.235741,0.215385,0.230088,0.158879,0.218487,0.186235,0.063348,0.257732,0.264957,0.029412,0.261261,0.183486,0.25,0.212963,0.046154,0.217617,0.154506,0.142222,0.206612,0.12963,0.152542,0.180258,0.275556,0.301587,0.198113,0.232323,0.05102,0.114286,0.248927,0.293333,0.310606,0.130612,0.144144,0.058537,0.107843,0.247788,0.182741,0.137566,0.186275,0.151515,0.227488,0.243094,0.226415,0.302439,0.040201,0.075,0.260465,0.216981,0.190476,0.190476,0.262172,0.236967,0.136842,0.090909,0.271845,0.122642,0.08,0.144737,0.102273,0.175824,0.19802,0.180905,0.073171,0.147727,0.137255,0.236967,0.240741,0.241546,0.171779,0.192513,0.198758,0.165217,0.1,0.201058,0.258706,0.25,0.277108,0.170213,0.207317,0.034091,0.076433,0.137931,0.217391,0.326087,0.205128,0.201342,0.0,0.255556,0.100917,0.158192,0.195556,0.226601,0.210084,0.151515,0.285714,0.073171,0.11236,0.258065,0.090452,0.182692,0.131313,0.269939,0.122905,0.22619,0.145455,0.08642,0.134715,0.098765,0.157303,0.222222,0.118343,0.201342,0.366667,0.235955,0.137931,0.188482,0.12766,0.223404,0.013605,0.213592,0.24,0.292683,0.178571,0.272251,0.081081,0.037267,0.206061
0.92,1.0,0.98,0.96,0.88,0.96,0.94,0.96,0.94,0.96,0.94,0.92,0.98,0.96,0.94,0.96,0.94,0.96,0.96,0.94,0.98,0.96,0.94,0.94,0.96,0.98,0.96,0.98,0.98,0.98,0.9,0.96,0.96,0.98,0.92,0.96,0.94,0.96,0.98,0.98,0.92,0.98,0.94,0.98,0.92,0.96,0.96,0.94,0.98,0.96,0.96,0.96,0.9,0.96,0.96,0.96,0.98,0.96,0.86,0.98,0.96,0.96,0.92,0.92,0.96,0.94,0.98,0.98,0.96,0.92,0.96,0.92,0.94,1.0,0.96,0.98,0.94,0.98,0.98,0.96,0.92,0.96,0.98,1.0,1.0,0.9,0.94,0.96,0.9,0.98,0.94,0.94,0.98,0.86,0.96,0.96,0.96,0.92,1.0,0.9,1.0,0.98,0.94,0.96,0.92,0.94,0.98,0.94,1.0,0.96,0.96,0.86,0.92,0.94,0.98,0.98,0.96,1.0,0.96,0.98,0.92,1.0,0.96,0.96,0.96,0.96,0.94,0.98,0.98,0.94,0.98,0.98,0.98,0.96,0.88,0.98,0.96,0.94,0.94,0.9,0.9,0.92,0.94,0.96,0.94,0.94,0.96,0.94,0.94,1.0,0.84,0.96,0.94,0.98,0.98,0.92,0.92,0.92,0.94,0.92,0.9,1.0,0.94,0.94,1.0,0.98,0.96,0.9,0.98,0.94,0.98,0.92,0.94,0.98,0.92,0.94,0.84,0.88,0.96,0.86,0.96,0.9,0.9,0.96,0.96,0.94,0.96,0.98,0.98,0.98,0.98,0.9,0.94,0.82,0.98,0.92,0.92,0.98,0.94,0.98,0.96,0.96,0.92,0.92,0.92,0.98,0.86,0.92,0.96
0.742671,0.74477,0.692082,0.736625,0.708502,0.723724,0.716418,0.703196,0.742671,0.6787,0.712644,0.710692,0.733577,0.721804,0.747292,0.738462,0.736,0.728,0.721649,0.733096,0.734848,0.726852,0.733108,0.717391,0.732558,0.756014,0.723684,0.745875,0.727969,0.746094,0.6875,0.733333,0.739623,0.752768,0.735849,0.716172,0.731183,0.758333,0.690678,0.71223,0.741433,0.727626,0.739927,0.678414,0.722008,0.704797,0.748,0.739669,0.727273,0.716738,0.694064,0.732484,0.720339,0.704861,0.73384,0.741525,0.711538,0.716418,0.733645,0.747748,0.713656,0.710526,0.688679,0.721698,0.714286,0.724576,0.743961,0.75,0.763359,0.748503,0.76699,0.753555,0.713636,0.746544,0.730435,0.733906,0.723404,0.783069,0.714894,0.748718,0.717842,0.753695,0.741379,0.737069,0.775,0.721649,0.731132,0.704036,0.742991,0.786982,0.693069,0.721393,0.770833,0.704082,0.757143,0.71875,0.740157,0.670588,0.730233,0.673077,0.695853,0.757426,0.770642,0.726415,0.725389,0.725118,0.710526,0.689655,0.706806,0.74026,0.712871,0.725806,0.713636,0.688596,0.703883,0.757576,0.772021,0.762626,0.775281,0.727273,0.72973,0.786885,0.698925,0.740506,0.727273,0.705202,0.728205,0.766234,0.725806,0.702128,0.742105,0.756614,0.75,0.740541,0.681818,0.73545,0.719101,0.698492,0.685185,0.685714,0.745455,0.731707,0.701657,0.745856,0.740506,0.779141,0.747368,0.715054,0.708995,0.714286,0.691781,0.720238,0.668966,0.752381,0.705263,0.729412,0.697143,0.691057,0.723404,0.71345,0.657534,0.774566,0.721854,0.734043,0.741463,0.764706,0.742857,0.753731,0.737968,0.735484,0.743961,0.714286,0.758621,0.744444,0.759434,0.73224,0.708333,0.708861,0.72619,0.753086,0.736842,0.712766,0.668478,0.75,0.744048,0.738255,0.75,0.76129,0.755556,0.766234,0.719512,0.711111,0.767296,0.674242,0.780822,0.694805,0.654321,0.780347,0.765152,0.730539,0.726027,0.711957,0.721854,0.683453,0.699346,0.727273,0.739437,0.689873,0.72973
