type_0,type_1,type_2,type_3,type_4,type_5,type_6,type_7,type_8,type_9,type_10,type_11,type_12,type_13,type_14,type_15,type_16,type_17,type_18,type_19,type_20,type_21,type_22,type_23,type_24,type_25,type_26,type_27,type_28,type_29,type_30,type_31,type_32,type_33,type_34,type_35,type_36,type_37,type_38,type_39,type_40,type_41,type_42,type_43,type_44,type_45,type_46,type_47,type_48,type_49,type_50,type_51,type_52,type_53,type_54,type_55,type_56,type_57,type_58,type_59,type_60,type_61,type_62,type_63,type_64,type_65,type_66,type_67,type_68,type_69,type_70,type_71,type_72,type_73,type_74,type_75,type_76,type_77,type_78,type_79,type_80,type_81,type_82,type_83,type_84,type_85,type_86,type_87,type_88,type_89,type_90,type_91,type_92,type_93,type_94,type_95,type_96,type_97,type_98,type_99,type_100,type_101,type_102,type_103,type_104,type_105,type_106,type_107,type_108,type_109,type_110,type_111,type_112,type_113,type_114,type_115,type_116,type_117,type_118,type_119,type_120,type_121,type_122,type_123,type_124,type_125,type_126,type_127,type_128,type_129,type_130,type_131,type_132,type_133,type_134,type_135,type_136,type_137,type_138,type_139,type_140,type_141,type_142,type_143,type_144,type_145,type_146,type_147,type_148,type_149,type_150,type_151,type_152,type_153,type_154,type_155,type_156,type_157,type_158,type_159,type_160,type_161,type_162,type_163,type_164,type_165,type_166,type_167,type_168,type_169,type_170,type_171,type_172,type_173,type_174,type_175,type_176,type_177,type_178,type_179,type_180,type_181,type_182,type_183,type_184,type_185,type_186,type_187,type_188,type_189,type_190,type_191,type_192,type_193,type_194,type_195,type_196,type_197,type_198,type_199,type_200,type_201,type_202,type_203,type_204,type_205,type_206,type_207,type_208
0.856317,0.796642,0.797534,0.824197,0.788474,0.813011,0.8377,0.772586,0.839616,0.814712,0.818279,0.819014,0.82238,0.802943,0.854123,0.823543,0.83968,0.88256,0.814811,0.837515,0.832028,0.842571,0.834334,0.812933,0.830704,0.856886,0.841932,0.858761,0.791298,0.868973,0.81832,0.814513,0.839772,0.850833,0.84964,0.850744,0.782085,0.833177,0.786771,0.845815,0.831669,0.846054,0.816749,0.805973,0.841207,0.821462,0.868736,0.871952,0.864729,0.860248,0.767665,0.848787,0.846793,0.848964,0.82949,0.854227,0.836608,0.837408,0.814744,0.839329,0.850899,0.839114,0.82358,0.835017,0.764807,0.83611,0.863567,0.877666,0.86564,0.839471,0.847252,0.875856,0.852438,0.880195,0.881153,0.879718,0.845204,0.863554,0.871381,0.84142,0.805616,0.859594,0.833606,0.853021,0.85575,0.814021,0.840223,0.805828,0.88071,0.842022,0.851534,0.815549,0.87519,0.733549,0.841429,0.809001,0.884416,0.796886,0.849757,0.773923,0.820319,0.877316,0.825415,0.834928,0.832801,0.85463,0.863601,0.814044,0.889011,0.828864,0.824797,0.824459,0.852748,0.807133,0.853568,0.846648,0.872399,0.870498,0.889376,0.867704,0.834156,0.878169,0.826367,0.834962,0.833824,0.815564,0.869034,0.898592,0.863221,0.855166,0.85795,0.867557,0.838548,0.821388,0.758103,0.851992,0.832344,0.823893,0.843664,0.814133,0.818255,0.858789,0.842801,0.868289,0.85395,0.86153,0.859252,0.831223,0.825817,0.838063,0.783168,0.847506,0.813793,0.825057,0.824266,0.813322,0.848522,0.820907,0.826317,0.795527,0.804935,0.880049,0.863734,0.83604,0.83417,0.849972,0.8512,0.876364,0.86325,0.852404,0.851688,0.803287,0.865952,0.842099,0.873042,0.882558,0.797292,0.817497,0.850694,0.845908,0.856288,0.836097,0.811289,0.886888,0.872555,0.855727,0.871708,0.860062,0.834938,0.872997,0.852394,0.81904,0.837586,0.764922,0.895337,0.81017,0.83863,0.820542,0.844066,0.827889,0.912085,0.852611,0.833209,0.801304,0.848349,0.844628,0.822704,0.850304,0.906182
0.843735,0.748552,0.771399,0.821415,0.771529,0.765657,0.811778,0.765299,0.804347,0.777458,0.789231,0.791724,0.805076,0.774187,0.819754,0.80088,0.809778,0.847884,0.779303,0.81764,0.800762,0.815012,0.786533,0.795408,0.796291,0.818849,0.809811,0.832433,0.770283,0.846805,0.779625,0.785985,0.821246,0.807304,0.818534,0.82234,0.743289,0.809311,0.754804,0.801907,0.797045,0.817966,0.771575,0.791726,0.795391,0.778829,0.826331,0.843647,0.855206,0.838037,0.75071,0.806691,0.822707,0.812327,0.798105,0.829428,0.821086,0.805231,0.796795,0.798426,0.810176,0.813628,0.804137,0.829767,0.744197,0.793896,0.834213,0.84015,0.850147,0.774735,0.835269,0.84862,0.808701,0.846749,0.85118,0.858734,0.807033,0.829463,0.844666,0.802633,0.768118,0.836756,0.832154,0.823424,0.826408,0.767406,0.81483,0.790007,0.865742,0.839761,0.829488,0.792031,0.853417,0.719045,0.843375,0.81886,0.847725,0.783474,0.799546,0.765799,0.794628,0.860486,0.793352,0.797776,0.808577,0.827239,0.845588,0.786086,0.852914,0.788618,0.816715,0.810223,0.83135,0.783743,0.81106,0.813659,0.844038,0.8468,0.857473,0.862506,0.817891,0.849807,0.807704,0.788901,0.770072,0.764505,0.829993,0.88764,0.83,0.843638,0.79352,0.84053,0.797045,0.809148,0.742285,0.834642,0.821971,0.774252,0.81615,0.775853,0.796551,0.855647,0.808094,0.861259,0.838406,0.843525,0.814899,0.79692,0.807753,0.794934,0.769951,0.816617,0.806914,0.774967,0.779872,0.794548,0.828228,0.785324,0.81858,0.786608,0.789823,0.857903,0.846355,0.813365,0.79772,0.797602,0.833857,0.839167,0.8351,0.836205,0.834425,0.778358,0.849494,0.817513,0.838802,0.874134,0.773302,0.807305,0.806202,0.839205,0.848788,0.817467,0.77237,0.868178,0.846194,0.851705,0.863937,0.821462,0.792777,0.841035,0.833728,0.806531,0.813178,0.746362,0.888594,0.797318,0.842758,0.775661,0.82795,0.800789,0.88186,0.810512,0.814635,0.777548,0.833091,0.809048,0.797235,0.810462,0.891162
0.775244,0.717573,0.708211,0.736626,0.704453,0.744745,0.735075,0.671233,0.747557,0.740072,0.733716,0.720126,0.742701,0.721805,0.774368,0.726923,0.754,0.804,0.738832,0.761566,0.751894,0.759259,0.741554,0.724638,0.744186,0.761168,0.756579,0.777228,0.716475,0.779297,0.742188,0.731481,0.766038,0.747232,0.764151,0.768977,0.706989,0.76875,0.697034,0.755396,0.73676,0.758755,0.728938,0.722467,0.764479,0.739852,0.788,0.799587,0.77686,0.755365,0.69863,0.762739,0.756356,0.751736,0.747148,0.766949,0.747596,0.75,0.733645,0.754505,0.770925,0.757895,0.721698,0.752358,0.664286,0.747881,0.777778,0.801724,0.782443,0.763473,0.762136,0.793839,0.779545,0.797235,0.823913,0.796137,0.762411,0.775132,0.780851,0.766667,0.726141,0.775862,0.75431,0.767241,0.7675,0.739691,0.771226,0.721973,0.817757,0.748521,0.757426,0.731343,0.802083,0.642857,0.75,0.71875,0.80315,0.711765,0.744186,0.706731,0.737327,0.794554,0.738532,0.745283,0.743523,0.770142,0.773684,0.718391,0.806283,0.744589,0.740099,0.728495,0.786364,0.723684,0.783981,0.757576,0.787565,0.777778,0.811798,0.795455,0.716216,0.781421,0.747312,0.772152,0.770053,0.765896,0.782051,0.818182,0.790323,0.768617,0.778947,0.780423,0.758621,0.724324,0.690341,0.767196,0.752809,0.741206,0.752315,0.721429,0.724242,0.771341,0.770718,0.779006,0.753165,0.773006,0.778947,0.733871,0.73545,0.755495,0.708904,0.761905,0.717241,0.77619,0.763158,0.723529,0.751429,0.735772,0.748227,0.72807,0.746575,0.789017,0.764901,0.755319,0.768293,0.784314,0.745714,0.798507,0.783422,0.751613,0.78744,0.720497,0.79064,0.772222,0.783019,0.795082,0.695833,0.724684,0.779762,0.765432,0.752632,0.731383,0.722826,0.803571,0.791667,0.778523,0.801471,0.790323,0.758333,0.788961,0.765244,0.744444,0.72956,0.685606,0.821918,0.746753,0.771605,0.739884,0.765152,0.739521,0.85274,0.766304,0.748344,0.723022,0.764706,0.763636,0.742958,0.781646,0.814189
0.780255,0.719335,0.709489,0.729958,0.686695,0.747024,0.734082,0.665116,0.747967,0.746479,0.734226,0.715655,0.751323,0.729927,0.77396,0.725869,0.750507,0.810811,0.738832,0.759857,0.754221,0.763636,0.747107,0.722628,0.746154,0.759931,0.760259,0.77686,0.709804,0.780583,0.744977,0.731978,0.774545,0.745826,0.771481,0.776358,0.699725,0.770186,0.701461,0.75,0.737984,0.763359,0.735714,0.722467,0.769811,0.741284,0.792157,0.799172,0.778689,0.761506,0.691589,0.760835,0.760915,0.758037,0.753247,0.76087,0.739454,0.752768,0.737327,0.755056,0.768889,0.761658,0.716346,0.751773,0.655257,0.739606,0.77561,0.805085,0.791209,0.764179,0.763285,0.798144,0.783964,0.798165,0.830189,0.80167,0.758123,0.778068,0.784969,0.764858,0.721519,0.779661,0.753247,0.770213,0.76808,0.74036,0.780045,0.726872,0.821918,0.753623,0.764423,0.735294,0.807107,0.65,0.748201,0.721649,0.80695,0.711765,0.740566,0.70098,0.738532,0.796069,0.743243,0.742857,0.75063,0.767386,0.778351,0.71345,0.81407,0.744589,0.745763,0.739018,0.796537,0.730769,0.787589,0.762376,0.78534,0.777778,0.817439,0.797753,0.72,0.776536,0.75,0.780488,0.763736,0.773109,0.782609,0.818182,0.788043,0.77635,0.778947,0.787724,0.758621,0.721311,0.666667,0.764706,0.75419,0.739241,0.762749,0.719424,0.733138,0.773414,0.763533,0.783784,0.757764,0.779762,0.78125,0.741514,0.742268,0.762667,0.703833,0.760479,0.715278,0.782407,0.760638,0.725146,0.746356,0.741036,0.756014,0.725664,0.75,0.789625,0.770227,0.767677,0.766585,0.788462,0.743516,0.807143,0.782842,0.749186,0.789474,0.71875,0.795181,0.77957,0.787037,0.797844,0.697095,0.727273,0.784884,0.771084,0.748663,0.741688,0.731579,0.801444,0.797688,0.778523,0.805755,0.790997,0.761644,0.790997,0.763077,0.747253,0.724359,0.684411,0.826667,0.746753,0.77439,0.741379,0.768657,0.744868,0.857143,0.770053,0.748344,0.727915,0.769231,0.757764,0.732601,0.79403,0.816054
0.92,0.78,0.86,0.92,0.84,0.8,0.94,0.84,0.84,0.78,0.9,0.86,0.88,0.84,0.88,0.86,0.88,0.9,0.84,0.88,0.84,0.84,0.86,0.92,0.84,0.88,0.88,0.9,0.84,0.9,0.82,0.84,0.88,0.86,0.9,0.88,0.8,0.92,0.84,0.82,0.88,0.86,0.78,0.88,0.86,0.84,0.82,0.9,0.94,0.9,0.84,0.82,0.9,0.86,0.84,0.86,0.9,0.86,0.9,0.86,0.78,0.88,0.86,0.92,0.82,0.82,0.88,0.9,0.94,0.8,0.92,0.88,0.88,0.9,0.92,0.9,0.84,0.86,0.92,0.84,0.84,0.9,0.9,0.86,0.84,0.86,0.86,0.84,0.96,0.92,0.86,0.88,0.9,0.78,0.9,0.94,0.9,0.82,0.86,0.82,0.84,0.9,0.84,0.84,0.88,0.88,0.9,0.86,0.9,0.84,0.88,0.9,0.9,0.84,0.82,0.86,0.9,0.86,0.9,0.92,0.92,0.9,0.88,0.8,0.84,0.78,0.86,0.94,0.88,0.92,0.8,0.86,0.84,0.9,0.86,0.92,0.88,0.78,0.86,0.86,0.84,0.92,0.84,0.94,0.84,0.9,0.82,0.82,0.82,0.84,0.84,0.86,0.88,0.84,0.78,0.86,0.88,0.84,0.86,0.86,0.8,0.88,0.92,0.86,0.8,0.84,0.88,0.86,0.94,0.94,0.86,0.82,0.92,0.86,0.9,0.94,0.76,0.9,0.84,0.88,0.9,0.88,0.8,0.88,0.9,0.88,0.94,0.84,0.82,0.88,0.9,0.86,0.88,0.82,0.96,0.88,0.88,0.8,0.82,0.84,0.94,0.8,0.86,0.8,0.9,0.88,0.86,0.8,0.96
0.781759,0.723849,0.706745,0.736625,0.708502,0.747748,0.735075,0.680365,0.745928,0.740072,0.735632,0.72327,0.729927,0.729323,0.772563,0.726923,0.748,0.796,0.738832,0.758007,0.753788,0.763889,0.739865,0.721014,0.744186,0.762887,0.763158,0.775578,0.716475,0.777344,0.746875,0.733333,0.766038,0.745387,0.773585,0.772277,0.704301,0.770833,0.694915,0.758993,0.741433,0.754864,0.739927,0.722467,0.756757,0.738007,0.792,0.801653,0.768595,0.759657,0.69863,0.761146,0.762712,0.753472,0.745247,0.762712,0.754808,0.757463,0.738318,0.752252,0.770925,0.763158,0.731132,0.754717,0.671429,0.745763,0.777778,0.806035,0.770992,0.766467,0.762136,0.796209,0.777273,0.801843,0.817391,0.802575,0.755319,0.767196,0.787234,0.764103,0.73029,0.773399,0.75,0.762931,0.77,0.737113,0.783019,0.730942,0.808411,0.763314,0.762376,0.716418,0.807292,0.647959,0.757143,0.713542,0.807087,0.711765,0.739535,0.711538,0.737327,0.80198,0.738532,0.740566,0.746114,0.767772,0.763158,0.718391,0.811518,0.744589,0.742574,0.731183,0.786364,0.723684,0.776699,0.762626,0.777202,0.777778,0.797753,0.801136,0.724324,0.79235,0.741935,0.746835,0.770053,0.751445,0.784615,0.818182,0.77957,0.765957,0.778947,0.793651,0.758621,0.713513,0.693182,0.767196,0.758427,0.738693,0.75,0.721429,0.727273,0.77439,0.762431,0.78453,0.772152,0.766871,0.784211,0.736559,0.73545,0.763736,0.712329,0.755952,0.710345,0.761905,0.763158,0.729412,0.748571,0.731707,0.744681,0.725146,0.746575,0.791907,0.768212,0.75,0.760976,0.784314,0.737143,0.798507,0.786096,0.754839,0.78744,0.720497,0.788177,0.772222,0.787736,0.79235,0.7,0.721519,0.77381,0.790123,0.752632,0.728723,0.733696,0.807143,0.803571,0.778524,0.789216,0.787097,0.75,0.792208,0.768293,0.740741,0.72956,0.689394,0.808219,0.746753,0.777778,0.745665,0.772727,0.748503,0.835616,0.771739,0.748344,0.719424,0.75817,0.769697,0.739437,0.78481,0.804054
