best_epoch,cell,checkpoint_metric,dataset,n_params,seed,split,test_AUC-ROC,test_P@50,test_P@N2,test_PR-AUC,test_accuracy,test_macro-F1,val_AUC-ROC,val_P@50,val_P@N2,val_PR-AUC,val_accuracy,val_macro-F1,wall_time_sec
9,08,accuracy,ddibn,125521,0,S0,0.984582,0.991866,0.943392,0.986805,0.947202,0.946121,0.983032,0.987368,0.941565,0.986136,0.943871,0.943021,79.7
1,08,accuracy,ddibn,125521,0,S1,0.827028,0.884498,0.759159,0.815556,0.635871,0.466592,0.83517,0.883923,0.761116,0.823719,0.624564,0.432124,79.7
1,08,accuracy,ddibn,125521,0,S2,0.425608,0.486507,0.438796,0.49453,0.5,0.0,0.399862,0.483636,0.421904,0.465856,0.5,0.0,79.7
79,08,accuracy,ddibn,125521,42,S0,0.991809,0.996459,0.953591,0.992905,0.953266,0.952722,0.988767,0.990239,0.953467,0.990807,0.952825,0.952106,377.5
23,08,accuracy,ddibn,125521,42,S1,0.831385,0.898756,0.749126,0.822631,0.635101,0.45844,0.82941,0.906507,0.748305,0.81767,0.622902,0.423035,377.5
1,08,accuracy,ddibn,125521,42,S2,0.435234,0.48756,0.440773,0.498648,0.5,0.0,0.403156,0.484211,0.428885,0.458268,0.5,0.0,377.5
9,08,accuracy,ddibn,125521,124,S0,0.984883,0.992727,0.944393,0.987034,0.948447,0.947968,0.982955,0.987656,0.941661,0.985968,0.942693,0.942654,83.8
1,08,accuracy,ddibn,125521,124,S1,0.816923,0.894833,0.749373,0.808435,0.640324,0.47206,0.825658,0.888708,0.750304,0.818011,0.622876,0.426828,83.8
1,08,accuracy,ddibn,125521,124,S2,0.439874,0.488325,0.450697,0.507382,0.5,0.0,0.407597,0.484498,0.429288,0.467645,0.5,0.0,83.8
