type_0,type_1,type_2,type_3,type_4,type_5,type_6,type_7,type_8,type_9,type_10,type_11,type_12,type_13,type_14,type_15,type_16,type_17,type_18,type_19,type_20,type_21,type_22,type_23,type_24,type_25,type_26,type_27,type_28,type_29,type_30,type_31,type_32,type_33,type_34,type_35,type_36,type_37,type_38,type_39,type_40,type_41,type_42,type_43,type_44,type_45,type_46,type_47,type_48,type_49,type_50,type_51,type_52,type_53,type_54,type_55,type_56,type_57,type_58,type_59,type_60,type_61,type_62,type_63,type_64,type_65,type_66,type_67,type_68,type_69,type_70,type_71,type_72,type_73,type_74,type_75,type_76,type_77,type_78,type_79,type_80,type_81,type_82,type_83,type_84,type_85,type_86,type_87,type_88,type_89,type_90,type_91,type_92,type_93,type_94,type_95,type_96,type_97,type_98,type_99,type_100,type_101,type_102,type_103,type_104,type_105,type_106,type_107,type_108,type_109,type_110,type_111,type_112,type_113,type_114,type_115,type_116,type_117,type_118,type_119,type_120,type_121,type_122,type_123,type_124,type_125,type_126,type_127,type_128,type_129,type_130,type_131,type_132,type_133,type_134,type_135,type_136,type_137,type_138,type_139,type_140,type_141,type_142,type_143,type_144,type_145,type_146,type_147,type_148,type_149,type_150,type_151,type_152,type_153,type_154,type_155,type_156,type_157,type_158,type_159,type_160,type_161,type_162,type_163,type_164,type_165,type_166,type_167,type_168,type_169,type_170,type_171,type_172,type_173,type_174,type_175,type_176,type_177,type_178,type_179,type_180,type_181,type_182,type_183,type_184,type_185,type_186,type_187,type_188,type_189,type_190,type_191,type_192,type_193,type_194,type_195,type_196,type_197,type_198,type_199,type_200,type_201,type_202,type_203,type_204,type_205,type_206,type_207,type_208
0.84176,0.830395,0.785184,0.840692,0.77623,0.802821,0.83557,0.801255,0.839351,0.801496,0.832196,0.841867,0.813576,0.839858,0.852051,0.868876,0.845168,0.864256,0.845892,0.846203,0.857868,0.83657,0.841399,0.842155,0.833784,0.864137,0.814097,0.874555,0.819351,0.850113,0.81165,0.849849,0.885297,0.859956,0.86482,0.840604,0.778471,0.847309,0.774885,0.853799,0.847808,0.852731,0.808115,0.817734,0.878893,0.844419,0.85736,0.851513,0.876289,0.823684,0.788933,0.862307,0.863383,0.863607,0.84509,0.854227,0.816291,0.865797,0.802974,0.875822,0.858468,0.807701,0.78382,0.812945,0.805329,0.843795,0.865061,0.849974,0.869144,0.852379,0.856914,0.844051,0.833347,0.87942,0.864877,0.868684,0.853692,0.872288,0.85043,0.847364,0.809619,0.858332,0.845961,0.853467,0.8792,0.817754,0.857512,0.808784,0.85859,0.84948,0.845505,0.841761,0.838406,0.77538,0.825561,0.828423,0.893918,0.816332,0.865809,0.768052,0.793689,0.84254,0.863269,0.835951,0.855996,0.854451,0.860332,0.782105,0.883446,0.849178,0.838619,0.826223,0.852913,0.840528,0.849491,0.864351,0.880614,0.852234,0.866463,0.868963,0.839182,0.884828,0.839606,0.830276,0.869484,0.792843,0.877186,0.855288,0.868251,0.867587,0.866011,0.863974,0.848822,0.857677,0.791968,0.876067,0.834364,0.822227,0.833826,0.822092,0.806501,0.864441,0.831873,0.839474,0.872216,0.864541,0.881524,0.851804,0.848073,0.874592,0.765247,0.823236,0.795719,0.853265,0.838753,0.820727,0.845127,0.781017,0.8068,0.844226,0.806906,0.888169,0.885049,0.875509,0.833171,0.864112,0.878269,0.835431,0.877263,0.888283,0.849891,0.821805,0.850372,0.88284,0.876468,0.866882,0.853333,0.799591,0.866922,0.843926,0.865485,0.838954,0.812116,0.859133,0.863768,0.870141,0.844531,0.836504,0.864321,0.869919,0.8808,0.801152,0.856058,0.760904,0.883046,0.819573,0.816072,0.855558,0.857955,0.816989,0.870661,0.872814,0.820315,0.81709,0.832543,0.842902,0.800436,0.850865,0.917412
0.817897,0.796531,0.766985,0.818306,0.743936,0.775759,0.816598,0.785702,0.813224,0.773052,0.804008,0.817835,0.799542,0.807413,0.833205,0.853346,0.82882,0.829659,0.810972,0.814777,0.82211,0.791894,0.820765,0.835238,0.820596,0.853397,0.789838,0.855865,0.806833,0.825978,0.774439,0.821529,0.873027,0.84022,0.845221,0.81358,0.770746,0.81467,0.756389,0.834732,0.837831,0.834332,0.767294,0.79159,0.862538,0.831438,0.823996,0.829228,0.870609,0.787143,0.782185,0.846384,0.843533,0.855254,0.814224,0.821852,0.815049,0.862519,0.789063,0.870184,0.832897,0.779667,0.771797,0.772903,0.800365,0.820295,0.869902,0.808804,0.83476,0.800826,0.847034,0.788769,0.788509,0.874718,0.843248,0.843063,0.821909,0.832557,0.824944,0.848861,0.771986,0.837294,0.841583,0.815994,0.869436,0.791641,0.843386,0.794485,0.826469,0.836596,0.819673,0.834913,0.824752,0.732568,0.823019,0.813474,0.87593,0.801192,0.839203,0.743519,0.766957,0.816721,0.852573,0.817522,0.836227,0.847527,0.826943,0.746725,0.864351,0.824929,0.825378,0.808466,0.835788,0.811637,0.828951,0.854363,0.854177,0.845505,0.833284,0.845919,0.842485,0.862914,0.835666,0.773502,0.839556,0.756086,0.857513,0.844168,0.842396,0.85378,0.84431,0.854857,0.823576,0.853574,0.766746,0.86923,0.80985,0.793786,0.808696,0.797491,0.755713,0.866306,0.819795,0.816597,0.853689,0.854187,0.8596,0.829376,0.791629,0.850545,0.744932,0.793568,0.775073,0.813295,0.817165,0.798656,0.84274,0.726717,0.784056,0.827399,0.80706,0.88283,0.864774,0.864936,0.804505,0.838499,0.855705,0.807114,0.851664,0.884369,0.829077,0.77919,0.847563,0.872676,0.854766,0.84622,0.85738,0.773862,0.86054,0.801837,0.861652,0.823041,0.775722,0.817652,0.839543,0.879382,0.828041,0.793123,0.852698,0.855964,0.882148,0.792071,0.842339,0.717296,0.866094,0.798031,0.787895,0.857101,0.83596,0.806856,0.816048,0.843868,0.793239,0.820347,0.816897,0.834071,0.767377,0.843368,0.911017
0.728013,0.723849,0.708211,0.746914,0.674089,0.716216,0.740672,0.707763,0.754072,0.711191,0.741379,0.753145,0.717153,0.755639,0.768953,0.786538,0.748,0.77,0.762887,0.770463,0.763258,0.752315,0.748311,0.759058,0.722868,0.764605,0.725877,0.775578,0.758621,0.75,0.717187,0.764815,0.8,0.782288,0.760377,0.745875,0.682796,0.777083,0.71822,0.758993,0.753894,0.768482,0.738095,0.731278,0.777992,0.756458,0.774,0.754132,0.801653,0.736052,0.730594,0.772293,0.78178,0.765625,0.768061,0.752119,0.721154,0.772388,0.698598,0.779279,0.742291,0.734211,0.726415,0.712264,0.721429,0.745763,0.756039,0.739224,0.769084,0.736527,0.774272,0.777251,0.720455,0.785714,0.78913,0.76824,0.753546,0.76455,0.761702,0.74359,0.726141,0.76601,0.758621,0.767241,0.8025,0.737113,0.761792,0.721973,0.768692,0.760355,0.759901,0.751244,0.75,0.709184,0.746429,0.747396,0.816929,0.744118,0.755814,0.677885,0.735023,0.752475,0.770642,0.724057,0.774611,0.741706,0.765789,0.698276,0.787958,0.790043,0.784653,0.723118,0.759091,0.763158,0.737864,0.762626,0.792746,0.744949,0.780899,0.778409,0.759459,0.765027,0.752688,0.737342,0.759358,0.722543,0.815385,0.737013,0.784946,0.795213,0.768421,0.761905,0.778017,0.778378,0.6875,0.814815,0.761236,0.726131,0.722222,0.760714,0.721212,0.759146,0.743094,0.754144,0.778481,0.763804,0.786842,0.763441,0.780423,0.791209,0.715753,0.717262,0.710345,0.759524,0.773684,0.735294,0.777143,0.703252,0.741135,0.77193,0.715753,0.780347,0.801325,0.757979,0.731707,0.781046,0.78,0.75,0.772727,0.780645,0.756039,0.720497,0.768473,0.788889,0.790094,0.778689,0.775,0.693038,0.770833,0.777778,0.792105,0.757979,0.728261,0.796429,0.779762,0.778523,0.769608,0.745161,0.752778,0.756494,0.789634,0.744444,0.779874,0.685606,0.794521,0.737013,0.722222,0.768786,0.768939,0.748503,0.760274,0.80163,0.731788,0.755396,0.745098,0.748485,0.690141,0.762658,0.814189
0.70018,0.688679,0.677472,0.713287,0.633257,0.69168,0.716904,0.670103,0.735552,0.68,0.714588,0.727903,0.685598,0.73251,0.750973,0.763326,0.717489,0.752688,0.735632,0.744554,0.748491,0.727735,0.728597,0.733467,0.691145,0.73805,0.70024,0.758007,0.731915,0.721739,0.691652,0.743434,0.784553,0.766798,0.732632,0.727915,0.64881,0.759551,0.697039,0.742308,0.732203,0.749474,0.709939,0.702439,0.752688,0.73494,0.752735,0.726437,0.793103,0.721088,0.692708,0.753022,0.764302,0.747664,0.75102,0.723404,0.679558,0.74477,0.671756,0.756219,0.703797,0.718663,0.697917,0.683938,0.677686,0.712919,0.718663,0.709832,0.75154,0.706667,0.749326,0.765,0.687023,0.758442,0.775982,0.748837,0.727984,0.742029,0.739535,0.714286,0.69863,0.738292,0.733333,0.746479,0.787062,0.711864,0.741688,0.704762,0.745501,0.737864,0.748052,0.72067,0.724138,0.679775,0.719368,0.722063,0.806653,0.716612,0.731458,0.621469,0.707379,0.73822,0.752475,0.697674,0.761644,0.716883,0.743516,0.666667,0.766571,0.772834,0.768,0.70317,0.740196,0.745283,0.71123,0.740331,0.767442,0.717087,0.762195,0.763636,0.742029,0.742515,0.72619,0.704626,0.739884,0.701863,0.801105,0.707581,0.766082,0.784314,0.747126,0.738372,0.765376,0.757396,0.633333,0.807692,0.740061,0.692958,0.693878,0.737255,0.697368,0.726644,0.71028,0.734328,0.748201,0.749186,0.767908,0.755556,0.762178,0.771084,0.69145,0.688525,0.686567,0.732095,0.752874,0.705882,0.757764,0.683983,0.715953,0.746753,0.693727,0.761006,0.787234,0.72997,0.701087,0.758123,0.760125,0.7393,0.752187,0.758865,0.737662,0.691781,0.743169,0.776471,0.770026,0.756757,0.745283,0.654804,0.747541,0.775,0.774929,0.739255,0.712644,0.78327,0.765823,0.75188,0.756477,0.720848,0.731118,0.727273,0.762887,0.727273,0.761905,0.643777,0.787234,0.707581,0.693878,0.75,0.746888,0.730769,0.728682,0.783383,0.701107,0.734375,0.732877,0.727869,0.648,0.749164,0.797048
0.9,0.86,0.86,0.84,0.78,0.84,0.9,0.88,0.88,0.8,0.82,0.84,0.86,0.84,0.86,0.86,0.92,0.86,0.84,0.88,0.84,0.8,0.88,0.88,0.94,0.98,0.84,0.92,0.86,0.9,0.82,0.8,0.92,0.9,0.88,0.9,0.82,0.86,0.84,0.9,0.92,0.88,0.78,0.84,0.9,0.88,0.82,0.86,0.96,0.8,0.84,0.9,0.9,0.94,0.86,0.88,0.9,0.94,0.88,0.96,0.86,0.8,0.8,0.78,0.9,0.86,0.98,0.82,0.82,0.82,0.9,0.78,0.8,0.92,0.88,0.9,0.86,0.84,0.9,0.94,0.8,0.88,0.92,0.82,0.94,0.82,0.9,0.86,0.82,0.9,0.82,0.92,0.88,0.72,0.88,0.86,0.92,0.86,0.86,0.78,0.8,0.84,0.9,0.86,0.88,0.92,0.8,0.8,0.92,0.86,0.86,0.82,0.88,0.82,0.88,0.88,0.9,0.88,0.88,0.88,0.94,0.88,0.92,0.78,0.88,0.76,0.88,0.9,0.82,0.92,0.88,0.92,0.86,0.92,0.82,0.9,0.86,0.82,0.84,0.86,0.74,0.94,0.94,0.88,0.88,0.94,0.92,0.88,0.78,0.86,0.78,0.82,0.84,0.86,0.86,0.88,0.92,0.74,0.82,0.9,0.88,0.92,0.88,0.92,0.86,0.86,0.88,0.84,0.86,0.98,0.88,0.8,0.88,0.96,0.88,0.88,0.94,0.84,0.92,0.82,0.92,0.9,0.82,0.82,0.86,0.96,0.88,0.82,0.9,0.92,0.94,0.82,0.9,0.76,0.9,0.88,0.86,0.94,0.9,0.9,0.84,0.84,0.82,0.86,0.9,0.92,0.84,0.9,0.96
0.758958,0.736402,0.718475,0.773663,0.704453,0.738739,0.764925,0.730594,0.781759,0.740072,0.758621,0.761006,0.751825,0.770677,0.783394,0.792308,0.76,0.792,0.756014,0.782918,0.791667,0.782407,0.756757,0.757246,0.763566,0.769759,0.745614,0.79868,0.750958,0.773438,0.74375,0.796296,0.807547,0.778598,0.792453,0.752475,0.715054,0.795833,0.724576,0.780576,0.775701,0.785992,0.74359,0.762115,0.810811,0.771218,0.796,0.764463,0.797521,0.738197,0.707763,0.802548,0.788136,0.78125,0.794677,0.788136,0.75,0.794776,0.714953,0.797297,0.784141,0.757895,0.716981,0.754717,0.728571,0.762712,0.777778,0.788793,0.801527,0.790419,0.786408,0.772512,0.759091,0.815668,0.795652,0.802575,0.762411,0.804233,0.782979,0.789744,0.73444,0.778325,0.775862,0.780172,0.805,0.762887,0.801887,0.735426,0.799065,0.775148,0.777228,0.771144,0.765625,0.72449,0.778571,0.734375,0.822835,0.741176,0.781395,0.721154,0.746544,0.782178,0.811927,0.764151,0.792746,0.777251,0.8,0.724138,0.816754,0.787879,0.772277,0.752688,0.786364,0.767544,0.757282,0.787879,0.813471,0.787879,0.792135,0.806818,0.756757,0.814208,0.774194,0.778481,0.791444,0.751445,0.825641,0.772727,0.817204,0.803191,0.8,0.793651,0.788793,0.783784,0.738636,0.814815,0.769663,0.743719,0.759259,0.757143,0.751515,0.792683,0.740331,0.779006,0.829114,0.791411,0.8,0.774194,0.783069,0.807692,0.719178,0.75,0.751724,0.790476,0.794737,0.752941,0.777143,0.723577,0.758865,0.766082,0.732877,0.809249,0.827815,0.81383,0.77561,0.810458,0.805714,0.761194,0.812834,0.806452,0.78744,0.770186,0.763547,0.805556,0.801887,0.79235,0.758333,0.765823,0.779762,0.790123,0.805263,0.75,0.76087,0.821429,0.803571,0.812081,0.77451,0.774194,0.805556,0.792208,0.792683,0.748148,0.767296,0.704545,0.815068,0.766234,0.740741,0.780347,0.80303,0.754491,0.80137,0.815217,0.761589,0.748201,0.732026,0.763636,0.732394,0.772152,0.831081
