epoch,train_loss,val_AUC-ROC_S0,val_PR-AUC_S0,val_acc_S0,val_AUC-ROC_S1,val_PR-AUC_S1,val_acc_S1,val_AUC-ROC_S2,val_PR-AUC_S2,val_acc_S2
1,0.02930555764525648,0.5710644355117892,0.5695897715817062,0.5205254542816516,0.48344956477070616,0.4926282768950115,0.49547122611387207,0.41178919020030136,0.4813898654835642,0.48315535573983825
2,0.028971222709984548,0.6498195378892534,0.6339381189848334,0.597565696986323,0.4763987132383479,0.4791106327380737,0.4798593059402025,0.3034499657164494,0.4172468770234622,0.41875031128566836
3,0.027795654000534166,0.7075728200078978,0.6851721909376493,0.6477937807678882,0.50801275115646,0.5023374854224524,0.4936122586710267,0.3057452415756258,0.4193233398172501,0.43296907146953817
4,0.02611261583684433,0.8027126432974012,0.7960521772346009,0.720783282840738,0.5820644507097001,0.5775364282444657,0.529820069160542,0.3244135912209793,0.43037216009896695,0.4639968151491027
5,0.023161159422729286,0.855516533429987,0.8555285681618188,0.7482666097644397,0.6202233625945228,0.6294250496808764,0.5865758819554453,0.3315601596325415,0.44151618660607106,0.4303432390611171
6,0.020541749819512328,0.8870486416563688,0.8920922893189625,0.7817793983183106,0.6308233788541158,0.6480389184812458,0.5931631292968127,0.31276593382863893,0.4334821905615865,0.4418540659260636
7,0.01802606138611032,0.905072541050893,0.9105488366243805,0.8035267878841442,0.6432515042338315,0.6617389027365853,0.5820660473493985,0.29828362427467126,0.4254904498001492,0.4777527436284052
8,0.01665993743095427,0.9162431329637961,0.9219306497237038,0.8267188888492093,0.6541822599284144,0.6761297727078006,0.5914327552704721,0.30515006718285825,0.4314874643978867,0.48330770819033225
9,0.015607198467478156,0.9281053802335788,0.9323984549504308,0.8346630608646828,0.6546722892198075,0.6755186575388824,0.6188130468149659,0.2919140590347766,0.42203317167920346,0.4371033518454264
10,0.014304112259959501,0.9321500860065607,0.9368176313869766,0.8469024299476068,0.662317817558827,0.6760822605002617,0.59805459077485,0.2940041536319858,0.41801244534299603,0.4660926919446498
11,0.013530525108498911,0.9429787869499037,0.9466335016099786,0.8611339590166257,0.6734827079196881,0.692863808883326,0.6300854218582097,0.29644099688289655,0.4240362079996457,0.44936128212009274
12,0.012749058310873806,0.9464644099791157,0.9502941683411692,0.8725878575203787,0.676093941378352,0.6908892951939877,0.611564902024968,0.2967247904650595,0.42074106814558887,0.46655915151056776
13,0.012048747052528685,0.9515967939753152,0.95511268106069,0.8715275156815911,0.6915575513723308,0.713373337267863,0.6133042481833103,0.312287687308597,0.4347956752479232,0.4793399062218359
14,0.011376060526667824,0.9546438438729604,0.9580643201366162,0.8802522321239434,0.6716697500560315,0.6835813905175366,0.6172954577653192,0.2910442642823495,0.41388153719544163,0.4408131680800003
15,0.010713004161633791,0.9594723804352238,0.961959505544683,0.8900930261026098,0.6801937542173028,0.6954084938505323,0.627410532450999,0.2936819720920689,0.4150074930339123,0.43265668821723635
16,0.010817783910991443,0.9627742245949628,0.9654892598380719,0.8949856181284692,0.6896631490456242,0.706399140771357,0.6336656440571411,0.3049602389119954,0.42658137420060704,0.449192431314956
17,0.010032995063210688,0.9662574900204923,0.9693916916536278,0.8912363958133229,0.6809177095423865,0.702795672351831,0.644160447956902,0.30015271738993676,0.4223820994627451,0.4384009076991804
18,0.009628268893838169,0.9670890847371869,0.9701511813331315,0.8769669571796522,0.6875477306195753,0.7069265991509995,0.651822593669207,0.30699561441142104,0.4273267450805076,0.4416933658445397
19,0.00942482084651748,0.9678140783539348,0.970688756267124,0.8969552655341796,0.6889338861240716,0.7027152337610565,0.6387257267729264,0.3101994107558132,0.4263359292488904,0.45097269509607885
20,0.008932926425439936,0.9708432913024122,0.9738007181081143,0.9140089132601551,0.6942515916624165,0.7081576740531844,0.6280906318156784,0.30131087739362855,0.4204419325357892,0.4502172189707102
21,0.008961875139991003,0.9700958223095686,0.9729873802716211,0.9093826088132294,0.6939293513058211,0.7092182636146916,0.6363918029209209,0.317025345814666,0.4335858204755169,0.4634573613098345
22,0.00853152556585208,0.9708421055395067,0.9742038551880263,0.8979718466238097,0.6917611729569099,0.7018641229064913,0.6377348139390753,0.29601743783487655,0.4173655332707222,0.454053126220095
23,0.008534136881691313,0.9741818841699754,0.9770824349823717,0.9135750547654681,0.7048110482140304,0.7146702259204827,0.6270693885010935,0.3040669598197158,0.4207103478420383,0.4621247718412906
24,0.008608190113708617,0.9741410393230399,0.9772428100834336,0.9135628622758278,0.7055564431058021,0.7165387527352333,0.6463074699012776,0.3054146510618078,0.4217073300233558,0.45519624136387926
25,0.008076021353894423,0.9755957569841404,0.9786653607632027,0.9185877338618387,0.6932443886625234,0.7035201614083426,0.626644216997119,0.30641271366115874,0.4223210140399006,0.46490402732293135
26,0.008065457617293202,0.9746368205741385,0.9776324898072091,0.9073889839096675,0.69423409969165,0.7009642784603841,0.58937974969914,0.2969067262837643,0.4152586755740594,0.4721383221646621
27,0.008067958071948059,0.977203446389678,0.9804803682237945,0.9226361135555402,0.6947409973621711,0.704500082954141,0.6268225911899672,0.3013087076653276,0.4181274654574914,0.4577402670562986
28,0.007665441358356827,0.9756129321909339,0.979049421784282,0.9260509785346276,0.7095801480997985,0.7175920502692258,0.6283669740932782,0.31894143477234954,0.42814355706524393,0.45830688228487354
29,0.007749935433704166,0.9779703421288766,0.9811109176382746,0.9082753386908288,0.7019500671186173,0.710893731969754,0.6491480005375754,0.296785050976624,0.41607792495056006,0.43663690443004005
30,0.0073739093833512835,0.9785193775935277,0.9815567565027405,0.9214551369208944,0.7055170387497685,0.7147107340764071,0.6421230464502969,0.30778799983049077,0.42037603754616215,0.44478152089137607
31,0.007150123566163764,0.9771596919533526,0.9802421097357168,0.9103857977239858,0.7056923018839751,0.7179897188993547,0.6544040943740173,0.3048759044170067,0.4215660644546484,0.44615853432648395
32,0.007458562350591585,0.9794428523353406,0.982575886730589,0.8995585122908473,0.6975618926283457,0.7105715764700115,0.6532102945916208,0.2977363569825522,0.41408662200242624,0.4319776699411619
33,0.007588394219055772,0.9789396809719231,0.9821661229536052,0.8800915828346882,0.7090143548086162,0.7219803138432653,0.6643359559282584,0.30153738692768833,0.4205187966850841,0.4145583356047293
34,0.007334572157912677,0.9797601687275893,0.9829732964947764,0.9063769330692416,0.7019379364977374,0.7126991446056203,0.6499871126492269,0.29879330270759086,0.4150182017454867,0.4320620245104877
35,0.00691105845579577,0.9794676706948002,0.9827286403254242,0.9106492549636842,0.7078734061152728,0.7109490963952425,0.6441509414380003,0.2977087466856106,0.4157118187587724,0.45365141750638405
36,0.007172402204765427,0.9800566382295741,0.9832420830222386,0.9278639338984526,0.7078250133025434,0.7071231520268353,0.6110283494515951,0.2999481539919778,0.41431685080702163,0.46348395416851507
37,0.0071289657348496535,0.9798743240803081,0.9829995715115862,0.9245354704485993,0.6999481047856966,0.7031740307357701,0.6222895676722954,0.28849151404562784,0.4082706646655464,0.44841569092237793
38,0.007090766074871945,0.9795042512033223,0.9827675027661645,0.910223928952625,0.6904214756544883,0.7020097060832688,0.6376736095574504,0.296808949337281,0.41618253797781507,0.4564472816091014
39,0.00698292106690426,0.978397190955135,0.9815379902142504,0.9211927242787243,0.6911110057972303,0.6945504745457152,0.5899204118366571,0.2903545709169752,0.40956205374894006,0.4694478925444117
40,0.007052602096190376,0.9805291688444424,0.9836062765486399,0.9074143217890039,0.7128727815974516,0.7197637109106226,0.6599175787482249,0.30888557959094826,0.4196871755564484,0.43963465664736323
41,0.006844211563152532,0.978380449338463,0.9814831287522,0.9219302541531269,0.7060231997138651,0.7107558807798672,0.6256589477093064,0.30611355886192276,0.4208328624317226,0.46861578840845375
42,0.006944270160484819,0.9801894576729395,0.9834835444208404,0.9129466776860338,0.7105704703760838,0.7129131440475616,0.6411828098989456,0.299800863756585,0.4146720542664289,0.45261988808568177
43,0.007071020047841293,0.9799341621012715,0.9832198386469327,0.9035168541164557,0.7119302526225824,0.7179873941564918,0.6618546907599597,0.3056358365471011,0.41561358394846476,0.41510059545748
44,0.0065420541889785275,0.9811287313454573,0.9841470145395123,0.9275690072929491,0.7059515073846729,0.7078433414204741,0.6313225301760883,0.30049605673326335,0.41485276881869015,0.45624545494639085
45,0.006702471066326383,0.9801885411374294,0.9831199628198743,0.9084765049748074,0.7102372057122308,0.7120463259497023,0.6547952429927875,0.30370130086685015,0.4164500061206211,0.42863116183668704
46,0.00677741140375034,0.9818083757198833,0.984786337917395,0.9285895195694508,0.7067479109330335,0.7075855060318434,0.6402477436286813,0.2986124147360517,0.4146313390328086,0.45090090721856624
47,0.006576040632001335,0.9806960188532677,0.9836407750716788,0.9265445648894218,0.7065854275449484,0.7059067498813052,0.6307471131996412,0.30666187239553105,0.4184572970796552,0.4587723791467253
48,0.006559319101319077,0.9811695189953871,0.9841959453130779,0.930536742220437,0.7060029961682638,0.7070914987094709,0.623824807545136,0.3005460883941163,0.4135544193657355,0.45601749145341275
49,0.00672112305220517,0.9812722674979867,0.9839900273419828,0.9306770742962194,0.7057319242783382,0.7052585781895747,0.6288381191734546,0.2975978248428415,0.413284296120142,0.4539751970739868
50,0.006510655341234298,0.978897748311583,0.9818436009716949,0.9254175989325185,0.7008641542090803,0.702680146445805,0.602412169116096,0.31905331902053996,0.4263593156740314,0.4687175178174065
51,0.006794223704585625,0.9809458838945402,0.9836868217627271,0.9164636623915939,0.6955761191986134,0.7012359289131427,0.6367065031519973,0.29481427602304355,0.41328306652129626,0.4496327588886583
52,0.0065106211432946785,0.9794909134912456,0.9827918594216294,0.9291113785570881,0.7306073995939828,0.7246383425096627,0.6425326605277494,0.3177572229100964,0.4213140978402081,0.4534492278708914
53,0.006658584880267059,0.9814175255294421,0.98438788586107,0.9289046935218401,0.7097617672846868,0.7107538344688027,0.6343822308307272,0.3128319630205719,0.4236604377659425,0.46713515412315465
54,0.0065074590534242175,0.9808292435019107,0.9839432535623683,0.9343475996522178,0.725649479445135,0.7262823390949867,0.6289241636152413,0.3152753199921761,0.422238145224636,0.4682438868236346
55,0.00650333134164553,0.9803973911938064,0.9832106368312811,0.9220141927913419,0.7163213041137507,0.7160863598702686,0.6395104924858624,0.3123173529591336,0.42187662969762435,0.4558954816051224
56,0.00624155931760587,0.9811130216080726,0.9840611401391959,0.9286513617579191,0.7103258051584199,0.7082311576699263,0.6301072593143525,0.3023540063258706,0.4149575254202096,0.4677775582495768
57,0.006558308612570287,0.9820517349343144,0.9849988867854026,0.9261586043152888,0.7105264747380232,0.7075741677612365,0.6396994231705119,0.30229601857597344,0.4154166064136606,0.44706828942007126
58,0.006612568275041638,0.9819503932371475,0.9849189959197148,0.9375329447872005,0.7269442389063406,0.7210018536046559,0.6296693331778793,0.3112535001042037,0.4190943170812536,0.46540435993197127
59,0.006352308778948481,0.9806536902811646,0.9836059896142266,0.9286947079940064,0.7185483551834333,0.7111149711144905,0.6027031909896269,0.30970712208987333,0.4162998846682597,0.4667578695280504
60,0.0069236140116117895,0.9805605576193045,0.9835136367823492,0.9276507736524798,0.7248055086081052,0.7200197147847524,0.6161623389990596,0.32684470466747706,0.42610792038212714,0.4646706645897744
61,0.006256159572418959,0.9825645639889716,0.9854651216440701,0.936336449619494,0.7172821353695504,0.714886355103346,0.6325257787634511,0.2985999121269854,0.4131682930608957,0.45799899998815724
62,0.006271177694396747,0.98200427339776,0.9850842512226425,0.9312964270705559,0.7138534633453555,0.7115070853734045,0.6430042676637742,0.29225563801291365,0.40887779198424845,0.43411249998208795
63,0.00643055769239342,0.9829197277086059,0.9857710711086344,0.9353822737180619,0.7201006071667228,0.7187534578208071,0.614648008095553,0.30741361891854596,0.4165375644456012,0.467648389282257
64,0.006748529141693707,0.9818052826831003,0.9848254894737107,0.9308459073307377,0.7182642379352336,0.7112344047699393,0.6237040208241118,0.2995332886010352,0.4133124263985069,0.4668727017969086
65,0.006129340350350005,0.9815280531406486,0.9843280658645817,0.9355644927028888,0.7330307988421211,0.7239883196509425,0.6295621858182429,0.3307924255809123,0.4289251809898243,0.47210160623526226
66,0.006094234715771651,0.9825821819896281,0.9855738187128721,0.9422409013908483,0.728705713059538,0.7270608837425423,0.6322268045492381,0.3128858141491703,0.4215378007260081,0.4709007772559977
67,0.0060737576286849235,0.9820026646985023,0.9851528277420725,0.9254416022465614,0.7325393460223765,0.7240819027170156,0.6576387259209887,0.3193401365054422,0.421630466645656,0.4473813677856293
68,0.006303765559418788,0.982416778340564,0.9852718522778635,0.9348231910584206,0.716999315090545,0.7157865522696173,0.6292246546045251,0.3094118048964245,0.4227984052523604,0.46840016887005853
69,0.006484420725985641,0.9819196906549305,0.9849591199477499,0.9355742662840655,0.7301230253035143,0.7255083112118715,0.6314677631804608,0.32170150863682034,0.42550437057845014,0.47121894396647696
70,0.006091000245613677,0.9783783012818368,0.9810447599325003,0.91758615217928,0.7164248789087265,0.7045096422722203,0.5884081695333652,0.31169358503898287,0.41680304227444465,0.4721912934706017
71,0.006179087862913166,0.9818937631708724,0.9845507293463713,0.9322550501129443,0.7214185859515241,0.7151964829336914,0.6344479509284732,0.30212166940686586,0.4132029783221987,0.45777562013733714
72,0.006498148771859105,0.9829569396330724,0.9860271211577986,0.9309250450166842,0.7177890866972321,0.7197246123644745,0.6502611289736031,0.31105025880642084,0.42182834920196455,0.4431502535346533
73,0.006040953608575247,0.9824052170141485,0.9856066536002482,0.9391810064632883,0.7278661677378372,0.7202885867950132,0.6363841661163697,0.30582246975776917,0.41342436386084547,0.4586796809330348
74,0.006117552416511781,0.9828535080621486,0.9857621098005385,0.9311194469028988,0.730799700349002,0.7292162070082314,0.6559984438124464,0.31357662488600585,0.42220381854431616,0.4562705878607417
75,0.006122699636410201,0.981369616501222,0.9843156156531907,0.9317535932829747,0.7285090160025269,0.7218119059527949,0.6261604190444245,0.31189272424272046,0.4217498980044466,0.4686793328479898
76,0.005960564743051486,0.9826734526618452,0.9854712607581348,0.9382700520620233,0.7184148573990031,0.7166269204178278,0.6191964689991913,0.3082948030178847,0.4194424068340665,0.4671453933961929
77,0.006251716620153597,0.982388767570423,0.9853901361040568,0.9377662307597715,0.7304248318550673,0.7230325889561001,0.6229692439971362,0.3107298173483325,0.41844033172600703,0.4691618757568305
