type_0,type_1,type_2,type_3,type_4,type_5,type_6,type_7,type_8,type_9,type_10,type_11,type_12,type_13,type_14,type_15,type_16,type_17,type_18,type_19,type_20,type_21,type_22,type_23,type_24,type_25,type_26,type_27,type_28,type_29,type_30,type_31,type_32,type_33,type_34,type_35,type_36,type_37,type_38,type_39,type_40,type_41,type_42,type_43,type_44,type_45,type_46,type_47,type_48,type_49,type_50,type_51,type_52,type_53,type_54,type_55,type_56,type_57,type_58,type_59,type_60,type_61,type_62,type_63,type_64,type_65,type_66,type_67,type_68,type_69,type_70,type_71,type_72,type_73,type_74,type_75,type_76,type_77,type_78,type_79,type_80,type_81,type_82,type_83,type_84,type_85,type_86,type_87,type_88,type_89,type_90,type_91,type_92,type_93,type_94,type_95,type_96,type_97,type_98,type_99,type_100,type_101,type_102,type_103,type_104,type_105,type_106,type_107,type_108,type_109,type_110,type_111,type_112,type_113,type_114,type_115,type_116,type_117,type_118,type_119,type_120,type_121,type_122,type_123,type_124,type_125,type_126,type_127,type_128,type_129,type_130,type_131,type_132,type_133,type_134,type_135,type_136,type_137,type_138,type_139,type_140,type_141,type_142,type_143,type_144,type_145,type_146,type_147,type_148,type_149,type_150,type_151,type_152,type_153,type_154,type_155,type_156,type_157,type_158,type_159,type_160,type_161,type_162,type_163,type_164,type_165,type_166,type_167,type_168,type_169,type_170,type_171,type_172,type_173,type_174,type_175,type_176,type_177,type_178,type_179,type_180,type_181,type_182,type_183,type_184,type_185,type_186,type_187,type_188,type_189,type_190,type_191,type_192,type_193,type_194,type_195,type_196,type_197,type_198,type_199,type_200,type_201,type_202,type_203,type_204,type_205,type_206,type_207,type_208
0.851075,0.834947,0.751241,0.858897,0.78136,0.777201,0.803102,0.778466,0.818354,0.796296,0.818279,0.804596,0.80589,0.81815,0.805367,0.807071,0.808336,0.85336,0.822676,0.848052,0.815786,0.836377,0.814178,0.791076,0.82782,0.83178,0.818059,0.836312,0.780229,0.853043,0.814893,0.797956,0.870075,0.823137,0.821004,0.855254,0.771968,0.815434,0.759211,0.840006,0.825594,0.834986,0.801527,0.823109,0.839567,0.809915,0.819408,0.835445,0.856567,0.815616,0.788224,0.809698,0.841299,0.823736,0.808888,0.80758,0.815597,0.83447,0.824351,0.825217,0.852976,0.789197,0.775476,0.833103,0.777664,0.825302,0.801372,0.850457,0.840467,0.822439,0.818621,0.827879,0.828698,0.86018,0.835614,0.857043,0.836049,0.859074,0.817999,0.838291,0.79916,0.845325,0.824874,0.800294,0.862425,0.781326,0.820844,0.793662,0.833937,0.8346,0.821758,0.826861,0.829698,0.73472,0.819184,0.828532,0.858671,0.801003,0.810124,0.781204,0.783431,0.822321,0.838103,0.846164,0.818009,0.810876,0.855097,0.774871,0.866451,0.836678,0.841903,0.814401,0.852376,0.80973,0.832996,0.830936,0.832291,0.856035,0.86258,0.856147,0.803506,0.868554,0.824691,0.806001,0.852498,0.796251,0.82998,0.867979,0.818476,0.80919,0.810554,0.835643,0.812519,0.798685,0.776408,0.841074,0.824643,0.774021,0.827461,0.801276,0.819688,0.848416,0.811483,0.812979,0.809686,0.889194,0.838255,0.834056,0.797822,0.84241,0.754738,0.826531,0.754816,0.832857,0.817258,0.785121,0.826318,0.797607,0.841205,0.786806,0.81976,0.873166,0.860839,0.856892,0.816014,0.860011,0.87742,0.865059,0.863508,0.796837,0.838619,0.823116,0.810891,0.860154,0.835907,0.868643,0.784583,0.800593,0.797442,0.857034,0.840055,0.836266,0.791086,0.848367,0.849065,0.870862,0.858876,0.852445,0.823796,0.880587,0.791902,0.802085,0.820616,0.751894,0.866063,0.825181,0.828418,0.838451,0.845041,0.781849,0.85729,0.80293,0.823867,0.810776,0.849289,0.84169,0.742611,0.827111,0.847882
0.820242,0.808958,0.711676,0.847655,0.754995,0.753981,0.779876,0.769807,0.783902,0.761766,0.797525,0.772574,0.79061,0.795332,0.799306,0.785162,0.793555,0.837134,0.799617,0.839011,0.796077,0.804836,0.785004,0.774636,0.835581,0.812223,0.792028,0.822618,0.761771,0.812963,0.794776,0.789519,0.876753,0.798163,0.787992,0.823709,0.760423,0.797174,0.757855,0.842471,0.825115,0.821497,0.760967,0.810544,0.799783,0.802641,0.795143,0.805557,0.852762,0.797884,0.777868,0.78044,0.818993,0.797325,0.79265,0.785713,0.807308,0.811939,0.79691,0.812311,0.850116,0.77499,0.760443,0.827732,0.746457,0.801947,0.796268,0.839688,0.822047,0.791039,0.793174,0.797423,0.794072,0.85234,0.834936,0.85384,0.814448,0.832573,0.802406,0.841379,0.761245,0.840954,0.805712,0.765249,0.86404,0.750511,0.790226,0.778667,0.820784,0.805698,0.799322,0.816436,0.815463,0.709719,0.799775,0.834018,0.846084,0.776179,0.795909,0.771208,0.778799,0.807489,0.826966,0.840421,0.798162,0.814003,0.846299,0.745847,0.84668,0.803509,0.823717,0.79958,0.843864,0.784721,0.828908,0.79859,0.787108,0.850559,0.825314,0.871648,0.786527,0.860376,0.807537,0.765042,0.823206,0.771375,0.812322,0.866361,0.804392,0.777345,0.772011,0.819497,0.80855,0.773585,0.763915,0.829598,0.809547,0.758729,0.826627,0.787839,0.779551,0.822831,0.797854,0.81643,0.827708,0.874515,0.834307,0.837637,0.758768,0.828001,0.714354,0.799189,0.751524,0.80877,0.809206,0.753766,0.813853,0.78544,0.840322,0.75628,0.829005,0.874937,0.85676,0.821742,0.788428,0.842749,0.880518,0.841608,0.852515,0.769357,0.831894,0.815024,0.794515,0.85925,0.810711,0.868991,0.784418,0.787555,0.799625,0.831425,0.812433,0.800401,0.772682,0.84057,0.835254,0.878384,0.846815,0.829335,0.823943,0.864198,0.791379,0.79376,0.812199,0.702402,0.851976,0.804493,0.818147,0.842767,0.839306,0.762845,0.831092,0.788926,0.799466,0.809201,0.830183,0.845283,0.707587,0.807255,0.820674
0.778502,0.776151,0.686217,0.808642,0.726721,0.707207,0.746269,0.705479,0.754072,0.725632,0.745211,0.732704,0.75,0.75188,0.738267,0.734615,0.74,0.77,0.738832,0.77758,0.746212,0.775463,0.72973,0.731884,0.755814,0.762887,0.736842,0.778878,0.710728,0.798828,0.748437,0.735185,0.801887,0.756458,0.750943,0.790429,0.712366,0.739583,0.688559,0.746403,0.746106,0.762646,0.747253,0.751101,0.787645,0.743542,0.764,0.768595,0.764463,0.744635,0.716895,0.737261,0.752119,0.756944,0.730038,0.730932,0.745192,0.755597,0.742991,0.738739,0.768722,0.728947,0.695755,0.738208,0.7,0.743644,0.736715,0.752155,0.770992,0.739521,0.740291,0.760664,0.770455,0.776498,0.76087,0.76824,0.764184,0.783069,0.746809,0.751282,0.73029,0.768473,0.743534,0.724138,0.7725,0.703608,0.761792,0.73991,0.740654,0.766272,0.740099,0.741294,0.75,0.678571,0.746429,0.755208,0.777559,0.732353,0.732558,0.682692,0.700461,0.762376,0.759174,0.768868,0.743523,0.722749,0.763158,0.678161,0.798429,0.768398,0.764851,0.739247,0.781818,0.739035,0.762136,0.742424,0.746114,0.765152,0.792135,0.778409,0.718919,0.781421,0.731183,0.737342,0.764706,0.748555,0.735897,0.779221,0.733871,0.739362,0.726316,0.767196,0.74569,0.748649,0.701705,0.76455,0.769663,0.708543,0.740741,0.710714,0.763636,0.789634,0.729282,0.748619,0.731013,0.809816,0.773684,0.731183,0.732804,0.752747,0.674658,0.75,0.662069,0.752381,0.728947,0.711765,0.745714,0.699187,0.769504,0.719298,0.760274,0.786127,0.768212,0.773936,0.736585,0.777778,0.805714,0.783582,0.780749,0.732258,0.746377,0.732919,0.741379,0.766667,0.771226,0.786885,0.708333,0.71519,0.708333,0.759259,0.781579,0.779255,0.714674,0.771429,0.779762,0.802013,0.789216,0.793548,0.761111,0.821429,0.722561,0.748148,0.745283,0.719697,0.815068,0.753247,0.746914,0.771676,0.791667,0.715569,0.794521,0.75,0.741722,0.748201,0.764706,0.763636,0.676056,0.759494,0.75
0.774834,0.779381,0.675758,0.800857,0.730539,0.701378,0.743396,0.697892,0.751236,0.731449,0.738703,0.716667,0.76007,0.745174,0.731978,0.720648,0.714912,0.762887,0.723636,0.778761,0.745247,0.770686,0.71831,0.721805,0.746988,0.757895,0.733333,0.770548,0.70099,0.790224,0.74883,0.729679,0.798464,0.75188,0.73494,0.78798,0.71618,0.73904,0.685225,0.729367,0.734959,0.756972,0.753571,0.744921,0.782609,0.743068,0.756198,0.762712,0.759494,0.732584,0.700483,0.727273,0.746204,0.751773,0.726923,0.713318,0.729592,0.74364,0.738095,0.72381,0.751773,0.723861,0.673418,0.727273,0.680203,0.729306,0.707775,0.735632,0.772727,0.716612,0.743405,0.753056,0.773034,0.762836,0.75,0.76,0.749529,0.775956,0.741866,0.732782,0.723404,0.769608,0.726437,0.716814,0.767263,0.690027,0.756627,0.728972,0.73253,0.753894,0.745763,0.727749,0.743316,0.688119,0.734082,0.744565,0.766046,0.734694,0.71464,0.663265,0.688995,0.758794,0.745763,0.758621,0.737401,0.708229,0.752747,0.666667,0.795756,0.761693,0.742547,0.737127,0.785714,0.741866,0.752525,0.731579,0.727778,0.752,0.788571,0.773256,0.711111,0.771429,0.723757,0.729642,0.756906,0.743363,0.717808,0.768707,0.724234,0.729282,0.721925,0.759563,0.742358,0.743802,0.682779,0.765172,0.768362,0.691489,0.722772,0.705455,0.75625,0.780952,0.716763,0.736232,0.709898,0.807453,0.763736,0.728261,0.718663,0.751381,0.666667,0.73913,0.642336,0.745098,0.709859,0.708333,0.729483,0.708661,0.765343,0.703704,0.75,0.778443,0.758621,0.770889,0.727273,0.77027,0.804598,0.780303,0.772222,0.718644,0.742015,0.713333,0.731458,0.769231,0.765133,0.775862,0.675926,0.697987,0.695652,0.763636,0.779841,0.786632,0.712329,0.759398,0.76875,0.790036,0.779487,0.793548,0.757062,0.814815,0.705502,0.746269,0.732673,0.717557,0.813793,0.741497,0.732026,0.761329,0.782609,0.716418,0.788732,0.745856,0.746753,0.730769,0.764706,0.748387,0.659259,0.754839,0.721805
0.88,0.86,0.74,0.9,0.8,0.88,0.8,0.86,0.86,0.82,0.88,0.82,0.86,0.88,0.88,0.86,0.84,0.92,0.86,0.92,0.86,0.86,0.92,0.88,0.94,0.86,0.84,0.9,0.86,0.86,0.84,0.9,0.98,0.88,0.78,0.86,0.86,0.84,0.86,0.98,0.94,0.9,0.78,0.88,0.82,0.92,0.88,0.82,0.94,0.88,0.88,0.86,0.86,0.88,0.84,0.9,0.88,0.9,0.86,0.88,0.9,0.84,0.84,0.9,0.8,0.84,0.86,0.92,0.94,0.84,0.82,0.82,0.82,0.9,0.92,0.96,0.86,0.88,0.88,0.94,0.86,0.94,0.88,0.84,0.98,0.82,0.8,0.84,0.88,0.84,0.86,0.88,0.9,0.72,0.84,0.94,0.9,0.84,0.86,0.84,0.86,0.9,0.92,0.92,0.84,0.9,0.9,0.8,0.88,0.84,0.9,0.86,0.92,0.86,0.92,0.82,0.8,0.94,0.9,0.96,0.84,0.92,0.88,0.8,0.86,0.84,0.86,0.9,0.9,0.82,0.8,0.88,0.92,0.82,0.88,0.88,0.86,0.82,0.9,0.84,0.84,0.86,0.86,0.9,0.94,0.92,0.9,0.92,0.74,0.9,0.78,0.88,0.82,0.84,0.88,0.82,0.9,0.86,0.92,0.8,0.94,0.96,0.9,0.84,0.84,0.86,0.94,0.9,0.92,0.84,0.9,0.88,0.86,0.94,0.84,0.94,0.82,0.84,0.88,0.82,0.86,0.86,0.88,0.9,0.88,0.92,0.9,0.84,0.9,0.9,0.88,0.9,0.9,0.7,0.9,0.82,0.9,0.92,0.88,0.84,0.84,0.88,0.84,0.9,0.88,0.94,0.74,0.84,0.88
0.778502,0.778243,0.695015,0.798354,0.724696,0.708709,0.746269,0.703196,0.749186,0.729242,0.743295,0.745283,0.744526,0.744361,0.736462,0.746154,0.748,0.768,0.749141,0.775801,0.742424,0.768519,0.733108,0.728261,0.75969,0.75945,0.736842,0.768977,0.716475,0.792969,0.746875,0.725926,0.8,0.760148,0.754717,0.788779,0.715054,0.7375,0.686441,0.748201,0.750779,0.750973,0.747253,0.753304,0.779923,0.741697,0.76,0.768595,0.768595,0.759657,0.716895,0.738854,0.754237,0.746528,0.730038,0.741525,0.730769,0.761194,0.738318,0.747748,0.77533,0.715789,0.721698,0.754717,0.704762,0.754237,0.729469,0.74569,0.767176,0.760479,0.73301,0.772512,0.772727,0.78341,0.76087,0.763949,0.77305,0.793651,0.740426,0.769231,0.738589,0.768473,0.75431,0.728448,0.77,0.721649,0.768868,0.726457,0.761682,0.769231,0.747525,0.741294,0.765625,0.678571,0.75,0.760417,0.787402,0.735294,0.744186,0.706731,0.709677,0.772277,0.766055,0.768868,0.751295,0.739336,0.773684,0.683908,0.78534,0.761905,0.772277,0.741935,0.781818,0.736842,0.757282,0.762626,0.761658,0.777778,0.803371,0.784091,0.718919,0.797814,0.725806,0.746835,0.780749,0.734104,0.738462,0.772727,0.736559,0.75,0.721053,0.772487,0.741379,0.740541,0.715909,0.767196,0.764045,0.708543,0.740741,0.707143,0.769697,0.780488,0.745856,0.740331,0.727848,0.822086,0.763158,0.736559,0.73545,0.752747,0.678082,0.755952,0.668966,0.761905,0.747368,0.711765,0.76,0.715447,0.780142,0.730994,0.746575,0.786127,0.748344,0.776596,0.746341,0.79085,0.805714,0.791045,0.791444,0.729032,0.758454,0.751553,0.738916,0.766667,0.768868,0.797814,0.741667,0.708861,0.702381,0.753086,0.784211,0.760638,0.717391,0.764286,0.779762,0.785235,0.789216,0.793548,0.755556,0.805195,0.719512,0.740741,0.748428,0.719697,0.821918,0.766234,0.753086,0.786127,0.780303,0.712575,0.794521,0.744565,0.748344,0.733813,0.764706,0.763636,0.697183,0.753165,0.797297
