type_0,type_1,type_2,type_3,type_4,type_5,type_6,type_7,type_8,type_9,type_10,type_11,type_12,type_13,type_14,type_15,type_16,type_17,type_18,type_19,type_20,type_21,type_22,type_23,type_24,type_25,type_26,type_27,type_28,type_29,type_30,type_31,type_32,type_33,type_34,type_35,type_36,type_37,type_38,type_39,type_40,type_41,type_42,type_43,type_44,type_45,type_46,type_47,type_48,type_49,type_50,type_51,type_52,type_53,type_54,type_55,type_56,type_57,type_58,type_59,type_60,type_61,type_62,type_63,type_64,type_65,type_66,type_67,type_68,type_69,type_70,type_71,type_72,type_73,type_74,type_75,type_76,type_77,type_78,type_79,type_80,type_81,type_82,type_83,type_84,type_85,type_86,type_87,type_88,type_89,type_90,type_91,type_92,type_93,type_94,type_95,type_96,type_97,type_98,type_99,type_100,type_101,type_102,type_103,type_104,type_105,type_106,type_107,type_108,type_109,type_110,type_111,type_112,type_113,type_114,type_115,type_116,type_117,type_118,type_119,type_120,type_121,type_122,type_123,type_124,type_125,type_126,type_127,type_128,type_129,type_130,type_131,type_132,type_133,type_134,type_135,type_136,type_137,type_138,type_139,type_140,type_141,type_142,type_143,type_144,type_145,type_146,type_147,type_148,type_149,type_150,type_151,type_152,type_153,type_154,type_155,type_156,type_157,type_158,type_159,type_160,type_161,type_162,type_163,type_164,type_165,type_166,type_167,type_168,type_169,type_170,type_171,type_172,type_173,type_174,type_175,type_176,type_177,type_178,type_179,type_180,type_181,type_182,type_183,type_184,type_185,type_186,type_187,type_188,type_189,type_190,type_191,type_192,type_193,type_194,type_195,type_196,type_197,type_198,type_199,type_200,type_201,type_202,type_203,type_204,type_205,type_206,type_207,type_208
0.713898,0.650794,0.696125,0.706939,0.547852,0.677844,0.702268,0.549346,0.683673,0.651662,0.67301,0.642093,0.626109,0.62435,0.668054,0.561467,0.542222,0.57476,0.633903,0.673469,0.679931,0.660714,0.585625,0.684807,0.649219,0.660142,0.582857,0.6125,0.574063,0.611111,0.499405,0.608941,0.542041,0.695511,0.706447,0.721088,0.68,0.682617,0.672216,0.614512,0.733061,0.640625,0.619501,0.767361,0.6,0.653486,0.648889,0.686224,0.598958,0.659929,0.676269,0.714681,0.676576,0.574622,0.621875,0.739369,0.6,0.514706,0.6272,0.59083,0.836735,0.61157,0.639053,0.688776,0.479224,0.683333,0.638941,0.610969,0.624543,0.574394,0.64,0.725652,0.703704,0.685986,0.635445,0.717421,0.737889,0.609977,0.711911,0.708678,0.651111,0.61454,0.499541,0.596878,0.7744,0.705357,0.630165,0.8525,0.615234,0.612245,0.648148,0.713542,0.6768,0.616319,0.546667,0.750567,0.704444,0.648526,0.720414,0.704475,0.714681,0.529412,0.7184,0.586777,0.769322,0.746528,0.699592,0.648301,0.765595,0.652949,0.59375,0.616257,0.690051,0.6816,0.65625,0.709141,0.671819,0.67867,0.616257,0.754132,0.430727,0.617284,0.631944,0.581315,0.667092,0.66,0.642562,0.8675,0.715,0.66205,0.567602,0.650826,0.826389,0.650284,0.736961,0.529301,0.806584,0.620499,0.696746,0.901235,0.615702,0.72449,0.630194,0.633136,0.84,0.747041,0.681756,0.719136,0.6384,0.628512,0.605903,0.71384,0.66205,0.606061,0.723183,0.502973,0.52381,0.510397,0.63786,0.612245,0.797732,0.735537,0.769531,0.651405,0.734694,0.479167,0.649306,0.638889,0.6944,0.663265,0.616319,0.759259,0.654514,0.69719,0.659722,0.738281,0.75,0.755102,0.718193,0.673611,0.791383,0.544922,0.582908,0.750865,0.761773,0.7975,0.645062,0.617778,0.6832,0.709184,0.77071,0.617347,0.7425,0.622781,0.688017,0.645,0.574219,0.702479,0.527778,0.595041,0.595679,0.637051,0.561728,0.680556,0.678571,0.711806,0.667063,0.605867,0.53288
0.667459,0.667542,0.716976,0.739139,0.517302,0.671743,0.704603,0.562316,0.639555,0.600735,0.676291,0.602025,0.617632,0.637776,0.698128,0.547443,0.503239,0.563425,0.61108,0.644625,0.626941,0.652847,0.577394,0.736994,0.661944,0.663179,0.557587,0.577733,0.562603,0.619389,0.518013,0.600337,0.521971,0.695446,0.739842,0.745221,0.667205,0.660986,0.660957,0.610522,0.678863,0.607122,0.566793,0.734578,0.567333,0.633184,0.60848,0.639938,0.610143,0.668189,0.658873,0.686896,0.679452,0.589173,0.630769,0.709729,0.62788,0.578221,0.642493,0.59491,0.773265,0.586667,0.579661,0.698217,0.521502,0.639667,0.643051,0.618447,0.575423,0.535794,0.578012,0.743317,0.656081,0.658097,0.617016,0.693501,0.691812,0.67362,0.709592,0.692876,0.681678,0.582465,0.515928,0.587696,0.765192,0.703076,0.668784,0.813639,0.580576,0.643289,0.659438,0.665311,0.656825,0.595734,0.5842,0.753746,0.67573,0.670758,0.690232,0.700578,0.716156,0.533008,0.709486,0.607102,0.798291,0.698488,0.703808,0.670802,0.767693,0.613215,0.559838,0.590727,0.634295,0.657929,0.674847,0.662412,0.648569,0.708472,0.58779,0.777977,0.457882,0.634153,0.575427,0.607344,0.6549,0.690734,0.616919,0.854595,0.728417,0.636929,0.577379,0.599373,0.785488,0.603804,0.717872,0.522314,0.761619,0.682383,0.663125,0.909436,0.63031,0.768227,0.627314,0.639495,0.860104,0.704123,0.632298,0.708477,0.613136,0.672274,0.654852,0.753531,0.685809,0.586413,0.696773,0.523464,0.594502,0.559443,0.635993,0.606769,0.778019,0.712249,0.737492,0.675449,0.778643,0.535019,0.625267,0.599995,0.664052,0.612611,0.622324,0.724323,0.635079,0.652712,0.585909,0.63135,0.700055,0.794728,0.718146,0.69148,0.819696,0.53653,0.542956,0.709068,0.746396,0.810776,0.631995,0.667158,0.669657,0.702334,0.739672,0.627574,0.7023,0.624322,0.680377,0.608522,0.633956,0.687672,0.625132,0.567985,0.612094,0.647436,0.638655,0.656266,0.681264,0.680373,0.696684,0.531937,0.545262
0.585106,0.642857,0.619565,0.657143,0.53125,0.564103,0.630435,0.534483,0.595238,0.592105,0.588235,0.551724,0.557692,0.580645,0.612903,0.534091,0.516667,0.5,0.622449,0.642857,0.661765,0.660714,0.575,0.630952,0.560606,0.602041,0.542857,0.5875,0.609756,0.55,0.482759,0.572917,0.485714,0.627907,0.648148,0.654762,0.625,0.65625,0.596774,0.583333,0.671429,0.59375,0.586207,0.666667,0.58,0.629032,0.583333,0.571429,0.583333,0.62069,0.62963,0.644737,0.637931,0.576923,0.55,0.685185,0.6,0.5,0.58,0.573529,0.809524,0.545455,0.576923,0.589286,0.421053,0.616667,0.565217,0.482143,0.581081,0.558824,0.58,0.62963,0.611111,0.573529,0.575758,0.62963,0.647059,0.619048,0.605263,0.636364,0.583333,0.555556,0.5,0.575758,0.56,0.607143,0.568182,0.75,0.515625,0.557143,0.5,0.666667,0.58,0.541667,0.6,0.666667,0.65,0.595238,0.634615,0.580645,0.657895,0.5,0.64,0.568182,0.672414,0.666667,0.614286,0.606061,0.630435,0.574074,0.53125,0.586957,0.589286,0.56,0.71875,0.684211,0.637931,0.552632,0.5,0.681818,0.5,0.555556,0.625,0.588235,0.625,0.5,0.568182,0.75,0.625,0.605263,0.553571,0.613636,0.75,0.543478,0.666667,0.456522,0.666667,0.578947,0.596154,0.777778,0.568182,0.607143,0.526316,0.557692,0.7,0.653846,0.62963,0.638889,0.58,0.580645,0.5625,0.66129,0.631579,0.530303,0.617647,0.517241,0.547619,0.5,0.592593,0.553571,0.695652,0.636364,0.65625,0.532258,0.690476,0.5,0.604167,0.5625,0.6,0.607143,0.625,0.722222,0.5625,0.629032,0.604167,0.53125,0.583333,0.571429,0.655172,0.625,0.666667,0.53125,0.517857,0.676471,0.684211,0.65,0.555556,0.6,0.64,0.571429,0.673077,0.535714,0.675,0.557692,0.613636,0.525,0.53125,0.636364,0.583333,0.545455,0.555556,0.565217,0.555556,0.583333,0.642857,0.666667,0.603448,0.517857,0.47619
0.551724,0.634146,0.597701,0.6,0.482759,0.540541,0.604651,0.470588,0.514286,0.550725,0.621622,0.48,0.520833,0.551724,0.555556,0.438356,0.431373,0.470588,0.58427,0.655172,0.666667,0.627451,0.527778,0.617284,0.567164,0.597938,0.542857,0.571429,0.619048,0.470588,0.464286,0.549451,0.37931,0.6,0.627451,0.632911,0.571429,0.65625,0.509804,0.556962,0.684932,0.566667,0.586207,0.636364,0.533333,0.646154,0.528302,0.52,0.583333,0.607143,0.6,0.619718,0.603774,0.56,0.454545,0.653061,0.621622,0.484848,0.588235,0.491228,0.826087,0.545455,0.521739,0.54902,0.3125,0.566038,0.473684,0.408163,0.507937,0.571429,0.533333,0.6,0.631579,0.539683,0.548387,0.62963,0.636364,0.6,0.571429,0.619048,0.576271,0.5,0.421053,0.5625,0.45,0.5,0.577778,0.736842,0.436364,0.491803,0.470588,0.652174,0.487805,0.47619,0.538462,0.65,0.644068,0.540541,0.654545,0.518519,0.617647,0.540541,0.653846,0.55814,0.627451,0.666667,0.571429,0.580645,0.604651,0.510638,0.375,0.577778,0.581818,0.47619,0.727273,0.666667,0.618182,0.564103,0.410256,0.681818,0.425532,0.555556,0.590909,0.588235,0.644068,0.444444,0.424242,0.736842,0.615385,0.594595,0.561404,0.585366,0.73913,0.432432,0.611111,0.390244,0.625,0.555556,0.571429,0.714286,0.536585,0.56,0.485714,0.510638,0.7,0.625,0.655172,0.628571,0.553191,0.551724,0.511628,0.666667,0.5625,0.491803,0.566667,0.481481,0.486486,0.439024,0.56,0.418605,0.695652,0.619048,0.62069,0.491228,0.682927,0.5,0.612245,0.533333,0.6,0.592593,0.608696,0.722222,0.533333,0.610169,0.55814,0.4,0.375,0.5,0.677419,0.571429,0.631579,0.444444,0.425532,0.685714,0.647059,0.588235,0.529412,0.571429,0.608696,0.538462,0.653061,0.518519,0.682927,0.510638,0.604651,0.486486,0.482759,0.619048,0.444444,0.444444,0.466667,0.5,0.5,0.5,0.615385,0.636364,0.54902,0.470588,0.352941
0.66,0.5,0.64,0.56,0.52,0.6,0.64,0.54,0.6,0.6,0.56,0.54,0.56,0.54,0.56,0.52,0.54,0.52,0.6,0.54,0.6,0.54,0.5,0.6,0.56,0.58,0.52,0.56,0.58,0.56,0.54,0.58,0.52,0.62,0.54,0.62,0.5,0.58,0.58,0.58,0.64,0.58,0.56,0.5,0.5,0.54,0.58,0.54,0.5,0.54,0.52,0.6,0.56,0.52,0.56,0.54,0.52,0.48,0.5,0.52,0.5,0.5,0.5,0.56,0.48,0.56,0.5,0.54,0.58,0.5,0.5,0.52,0.54,0.62,0.54,0.54,0.62,0.5,0.5,0.5,0.56,0.54,0.5,0.58,0.5,0.54,0.5,0.5,0.58,0.56,0.5,0.5,0.5,0.5,0.5,0.5,0.54,0.5,0.52,0.58,0.62,0.5,0.5,0.5,0.56,0.5,0.6,0.54,0.5,0.54,0.56,0.5,0.56,0.5,0.5,0.5,0.52,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.52,0.5,0.5,0.5,0.5,0.5,0.52,0.5,0.5,0.5,0.5,0.5,0.54,0.5,0.52,0.5,0.5,0.5,0.56,0.5,0.5,0.52,0.52,0.5,0.5,0.52,0.5,0.56,0.5,0.58,0.6,0.48,0.5,0.5,0.54,0.52,0.5,0.5,0.5,0.56,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.54,0.5,0.5,0.54,0.54,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.52,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.54,0.56,0.5
0.659574,0.619048,0.630435,0.628571,0.53125,0.589744,0.652174,0.517241,0.690476,0.605263,0.647059,0.62069,0.557692,0.612903,0.645161,0.545455,0.533333,0.555556,0.612245,0.642857,0.647059,0.571429,0.55,0.642857,0.575758,0.591837,0.542857,0.575,0.585366,0.566667,0.482759,0.583333,0.514286,0.627907,0.666667,0.666667,0.65,0.65625,0.580645,0.571429,0.657143,0.59375,0.586207,0.708333,0.56,0.612903,0.6,0.642857,0.583333,0.62069,0.62963,0.657895,0.655172,0.564103,0.575,0.740741,0.6,0.529412,0.56,0.529412,0.809524,0.545455,0.653846,0.571429,0.473684,0.666667,0.521739,0.535714,0.540541,0.588235,0.68,0.62963,0.666667,0.617647,0.606061,0.62963,0.647059,0.619048,0.631579,0.636364,0.6,0.592593,0.515152,0.545455,0.72,0.607143,0.590909,0.8,0.53125,0.542857,0.5,0.625,0.56,0.625,0.533333,0.666667,0.633333,0.619048,0.653846,0.645161,0.657895,0.529412,0.64,0.590909,0.655172,0.666667,0.6,0.575758,0.652174,0.555556,0.53125,0.608696,0.607143,0.64,0.6875,0.684211,0.655172,0.578947,0.565217,0.681818,0.407407,0.555556,0.541667,0.588235,0.642857,0.55,0.590909,0.75,0.65,0.631579,0.571429,0.590909,0.791667,0.652174,0.714286,0.478261,0.740741,0.578947,0.615385,0.777778,0.636364,0.642857,0.578947,0.615385,0.7,0.692308,0.62963,0.666667,0.6,0.580645,0.541667,0.677419,0.578947,0.515152,0.647059,0.482759,0.47619,0.478261,0.62963,0.571429,0.695652,0.636364,0.6875,0.548387,0.714286,0.5,0.583333,0.625,0.6,0.642857,0.625,0.722222,0.541667,0.612903,0.583333,0.6875,0.75,0.571429,0.655172,0.583333,0.666667,0.53125,0.535714,0.705882,0.684211,0.7,0.5,0.6,0.6,0.642857,0.692308,0.5,0.7,0.615385,0.636364,0.55,0.5,0.636364,0.333333,0.590909,0.5,0.565217,0.555556,0.625,0.571429,0.666667,0.586207,0.535714,0.47619
