type_0,type_1,type_2,type_3,type_4,type_5,type_6,type_7,type_8,type_9,type_10,type_11,type_12,type_13,type_14,type_15,type_16,type_17,type_18,type_19,type_20,type_21,type_22,type_23,type_24,type_25,type_26,type_27,type_28,type_29,type_30,type_31,type_32,type_33,type_34,type_35,type_36,type_37,type_38,type_39,type_40,type_41,type_42,type_43,type_44,type_45,type_46,type_47,type_48,type_49,type_50,type_51,type_52,type_53,type_54,type_55,type_56,type_57,type_58,type_59,type_60,type_61,type_62,type_63,type_64,type_65,type_66,type_67,type_68,type_69,type_70,type_71,type_72,type_73,type_74,type_75,type_76,type_77,type_78,type_79,type_80,type_81,type_82,type_83,type_84,type_85,type_86,type_87,type_88,type_89,type_90,type_91,type_92,type_93,type_94,type_95,type_96,type_97,type_98,type_99,type_100,type_101,type_102,type_103,type_104,type_105,type_106,type_107,type_108,type_109,type_110,type_111,type_112,type_113,type_114,type_115,type_116,type_117,type_118,type_119,type_120,type_121,type_122,type_123,type_124,type_125,type_126,type_127,type_128,type_129,type_130,type_131,type_132,type_133,type_134,type_135,type_136,type_137,type_138,type_139,type_140,type_141,type_142,type_143,type_144,type_145,type_146,type_147,type_148,type_149,type_150,type_151,type_152,type_153,type_154,type_155,type_156,type_157,type_158,type_159,type_160,type_161,type_162,type_163,type_164,type_165,type_166,type_167,type_168,type_169,type_170,type_171,type_172,type_173,type_174,type_175,type_176,type_177,type_178,type_179,type_180,type_181,type_182,type_183,type_184,type_185,type_186,type_187,type_188,type_189,type_190,type_191,type_192,type_193,type_194,type_195,type_196,type_197,type_198,type_199,type_200,type_201,type_202,type_203,type_204,type_205,type_206,type_207,type_208
0.394296,0.453515,0.313327,0.341224,0.298828,0.464826,0.379962,0.319857,0.378118,0.25831,0.373702,0.414982,0.279216,0.417274,0.536941,0.411157,0.366667,0.429355,0.427738,0.440051,0.436851,0.23852,0.341875,0.348639,0.254362,0.36818,0.329796,0.335625,0.40928,0.29,0.292509,0.40191,0.260408,0.270957,0.161866,0.339569,0.2475,0.322266,0.334027,0.294785,0.353469,0.388672,0.328181,0.399306,0.4432,0.354839,0.324444,0.225765,0.314236,0.277051,0.422497,0.279086,0.403092,0.307035,0.400625,0.381344,0.271837,0.356401,0.4096,0.357266,0.346939,0.254132,0.322485,0.290816,0.302632,0.301111,0.298677,0.526786,0.375457,0.404844,0.2592,0.293553,0.33059,0.451557,0.299357,0.45679,0.369377,0.39229,0.34072,0.247934,0.254444,0.407407,0.291093,0.38292,0.2624,0.288265,0.42562,0.37,0.362305,0.429388,0.401235,0.322917,0.2512,0.399306,0.271111,0.328798,0.434444,0.424036,0.329882,0.203954,0.353186,0.349481,0.4336,0.309917,0.399524,0.328125,0.395918,0.348026,0.31569,0.342936,0.272461,0.257089,0.211735,0.2368,0.285156,0.357341,0.422117,0.440443,0.275992,0.415289,0.294925,0.469136,0.359375,0.276817,0.316327,0.365,0.35124,0.3225,0.385,0.443213,0.399235,0.336777,0.286458,0.361059,0.292517,0.417769,0.315501,0.429363,0.338757,0.469136,0.415289,0.280612,0.335873,0.347633,0.47,0.176036,0.379973,0.160494,0.2736,0.516129,0.373264,0.272633,0.249307,0.372819,0.342561,0.349584,0.412698,0.241966,0.278464,0.427296,0.281664,0.378099,0.453125,0.450572,0.310658,0.25,0.40625,0.430556,0.3808,0.321429,0.270833,0.376543,0.265625,0.202914,0.246528,0.304688,0.25,0.326531,0.27824,0.305556,0.453515,0.222656,0.357143,0.359862,0.423823,0.3975,0.490741,0.222222,0.2224,0.561224,0.400888,0.408163,0.4025,0.359467,0.299587,0.2,0.3125,0.514463,0.388889,0.413223,0.216049,0.400756,0.29321,0.291667,0.132653,0.288194,0.406659,0.302296,0.387755
0.478424,0.477438,0.392174,0.403403,0.416089,0.486418,0.42648,0.430923,0.419803,0.380516,0.437714,0.453118,0.384912,0.451464,0.562076,0.426613,0.432492,0.442578,0.445134,0.456769,0.474084,0.368892,0.413664,0.410669,0.382763,0.414493,0.415755,0.416842,0.446857,0.416982,0.389908,0.472842,0.3742,0.376381,0.345477,0.405418,0.37823,0.410595,0.403278,0.381283,0.412443,0.448312,0.455837,0.496411,0.505597,0.440966,0.405865,0.382468,0.411134,0.385023,0.468366,0.379906,0.483102,0.390359,0.45534,0.45435,0.381023,0.425813,0.480787,0.414733,0.437333,0.416872,0.400377,0.408863,0.394013,0.394179,0.417364,0.570996,0.425656,0.476632,0.39344,0.386153,0.414418,0.464891,0.401987,0.537602,0.416712,0.429219,0.453619,0.378659,0.382072,0.447018,0.384529,0.447116,0.379856,0.386426,0.497763,0.421345,0.426343,0.472667,0.479367,0.415731,0.374638,0.451865,0.393325,0.400396,0.466753,0.518882,0.408986,0.356514,0.431279,0.44303,0.44272,0.414468,0.432964,0.422196,0.444947,0.421461,0.396463,0.40818,0.390394,0.382473,0.373005,0.373132,0.403818,0.419234,0.44713,0.461985,0.381193,0.469551,0.39428,0.584733,0.45093,0.400012,0.420575,0.416798,0.443279,0.39941,0.496297,0.466167,0.467014,0.424555,0.391789,0.453093,0.403631,0.476909,0.395477,0.464427,0.430608,0.506149,0.448898,0.398523,0.418353,0.41023,0.509608,0.349645,0.46097,0.361798,0.38624,0.511443,0.432827,0.432435,0.39499,0.457824,0.415885,0.439205,0.451153,0.374093,0.391055,0.443484,0.39547,0.43214,0.50081,0.559034,0.402526,0.396914,0.461602,0.48588,0.431204,0.410248,0.388434,0.444491,0.384919,0.354786,0.383995,0.404706,0.385326,0.450088,0.390341,0.409479,0.482597,0.362037,0.419602,0.430648,0.478037,0.434701,0.507874,0.378363,0.368502,0.543745,0.455275,0.53937,0.449433,0.425729,0.407712,0.360137,0.405873,0.510867,0.461147,0.488435,0.382716,0.445529,0.402667,0.400554,0.348568,0.389972,0.429189,0.403617,0.439725
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38,0.5,0.34,0.48,0.4,0.46,0.44,0.44,0.44,0.34,0.44,0.46,0.32,0.46,0.5,0.46,0.48,0.5,0.44,0.5,0.46,0.44,0.42,0.42,0.38,0.42,0.44,0.42,0.42,0.4,0.44,0.4,0.44,0.36,0.46,0.42,0.5,0.42,0.48,0.38,0.44,0.46,0.42,0.5,0.5,0.42,0.44,0.44,0.5,0.44,0.46,0.38,0.48,0.38,0.42,0.46,0.42,0.42,0.5,0.48,0.5,0.5,0.48,0.44,0.42,0.44,0.5,0.48,0.44,0.5,0.5,0.46,0.46,0.5,0.42,0.46,0.48,0.5,0.5,0.5,0.44,0.48,0.42,0.44,0.5,0.44,0.5,0.5,0.48,0.44,0.5,0.5,0.5,0.5,0.5,0.5,0.48,0.5,0.48,0.4,0.4,0.5,0.5,0.5,0.48,0.5,0.48,0.4,0.5,0.5,0.4,0.5,0.44,0.5,0.5,0.5,0.46,0.5,0.5,0.5,0.48,0.5,0.5,0.5,0.44,0.5,0.5,0.5,0.5,0.5,0.44,0.5,0.5,0.5,0.5,0.5,0.48,0.5,0.48,0.5,0.5,0.5,0.38,0.5,0.5,0.48,0.46,0.5,0.5,0.5,0.5,0.4,0.5,0.44,0.42,0.44,0.5,0.5,0.48,0.5,0.5,0.5,0.5,0.44,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.42,0.5,0.5,0.5,0.5,0.44,0.5,0.5,0.38,0.46,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.48,0.5,0.5,0.48,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.48,0.46,0.5
0.382979,0.47619,0.347826,0.371429,0.375,0.487179,0.391304,0.344828,0.452381,0.289474,0.411765,0.482759,0.326923,0.451613,0.516129,0.431818,0.366667,0.407407,0.44898,0.464286,0.470588,0.285714,0.35,0.380952,0.333333,0.428571,0.342857,0.4,0.414634,0.366667,0.37931,0.375,0.285714,0.325581,0.296296,0.428571,0.3,0.375,0.387097,0.404762,0.371429,0.375,0.37931,0.375,0.48,0.387097,0.366667,0.285714,0.375,0.344828,0.518519,0.342105,0.413793,0.384615,0.425,0.444444,0.342857,0.411765,0.44,0.382353,0.380952,0.318182,0.423077,0.357143,0.342105,0.366667,0.304348,0.5,0.405405,0.411765,0.28,0.333333,0.407407,0.470588,0.30303,0.481481,0.382353,0.47619,0.368421,0.318182,0.266667,0.444444,0.363636,0.393939,0.32,0.357143,0.409091,0.4,0.34375,0.485714,0.444444,0.333333,0.32,0.458333,0.333333,0.380952,0.433333,0.428571,0.346154,0.225806,0.342105,0.411765,0.44,0.363636,0.448276,0.416667,0.4,0.424242,0.347826,0.37037,0.34375,0.347826,0.25,0.28,0.3125,0.421053,0.482759,0.473684,0.304348,0.454545,0.333333,0.5,0.416667,0.411765,0.357143,0.4,0.363636,0.4,0.4,0.473684,0.428571,0.363636,0.291667,0.391304,0.333333,0.478261,0.37037,0.421053,0.384615,0.444444,0.409091,0.357143,0.368421,0.423077,0.5,0.269231,0.407407,0.166667,0.32,0.516129,0.458333,0.322581,0.315789,0.393939,0.411765,0.37931,0.428571,0.304348,0.333333,0.428571,0.26087,0.454545,0.4375,0.451613,0.380952,0.333333,0.458333,0.375,0.44,0.357143,0.333333,0.5,0.291667,0.258065,0.333333,0.375,0.25,0.285714,0.344828,0.333333,0.47619,0.3125,0.428571,0.352941,0.421053,0.4,0.5,0.266667,0.24,0.571429,0.423077,0.5,0.5,0.384615,0.318182,0.25,0.375,0.545455,0.5,0.409091,0.277778,0.478261,0.333333,0.375,0.214286,0.333333,0.482759,0.357143,0.428571
