best_epoch,cell,checkpoint_metric,dataset,n_params,seed,split,test_AUC-ROC,test_P@50,test_P@N2,test_PR-AUC,test_accuracy,test_macro-F1,val_AUC-ROC,val_P@50,val_P@N2,val_PR-AUC,val_accuracy,val_macro-F1,wall_time_sec
6,05,accuracy,ddibn,94545,0,S1,0.890077,0.939139,0.811717,0.881382,0.803256,0.790393,0.901318,0.980957,0.821382,0.903958,0.818723,0.805927,161.4
2,05,accuracy,ddibn,94545,0,S2,0.611116,0.516459,0.598329,0.617028,0.517672,0.147021,0.583427,0.511866,0.56713,0.611041,0.525283,0.209691,161.4
23,05,accuracy,ddibn,94545,42,S0,0.984734,0.992344,0.942042,0.986709,0.94406,0.943584,0.983228,0.98622,0.941896,0.98596,0.944803,0.944366,135.1
10,05,accuracy,ddibn,94545,42,S1,0.889932,0.935885,0.807233,0.881922,0.804954,0.790233,0.899767,0.97512,0.817934,0.901615,0.81136,0.795116,135.1
3,05,accuracy,ddibn,94545,42,S2,0.559124,0.50622,0.547412,0.58749,0.512317,0.16055,0.566289,0.508612,0.554337,0.584272,0.520939,0.2177,135.1
20,05,accuracy,ddibn,94545,124,S0,0.984549,0.992057,0.940996,0.986445,0.943928,0.943468,0.982441,0.984785,0.941473,0.985053,0.944207,0.94392,124.0
8,05,accuracy,ddibn,94545,124,S1,0.89014,0.934833,0.809761,0.88141,0.801801,0.785905,0.899664,0.976459,0.820114,0.901582,0.811294,0.794145,124.0
2,05,accuracy,ddibn,94545,124,S2,0.620081,0.51866,0.593364,0.622956,0.535433,0.24729,0.581957,0.514258,0.582378,0.590435,0.51736,0.276769,124.0
56,06,accuracy,ddibn,109137,0,S0,0.98442,0.992344,0.940223,0.986433,0.941751,0.94133,0.982238,0.983828,0.941429,0.984882,0.945092,0.944718,318.0
73,06,accuracy,ddibn,109137,0,S1,0.888114,0.966986,0.806935,0.884017,0.80132,0.795972,0.894505,0.961053,0.813957,0.888302,0.812349,0.809561,318.0
57,06,accuracy,ddibn,109137,0,S2,0.649499,0.519139,0.607078,0.683303,0.58817,0.634249,0.613021,0.515598,0.592587,0.624693,0.593109,0.616385,318.0
