epoch,train_loss,val_AUC-ROC_S0,val_PR-AUC_S0,val_acc_S0,val_AUC-ROC_S1,val_PR-AUC_S1,val_acc_S1,val_AUC-ROC_S2,val_PR-AUC_S2,val_acc_S2
1,0.02944048178652602,0.5196003407343482,0.5338590814048663,0.5014388449303032,0.5077793836555105,0.5155808853382958,0.5003963508546103,0.48989655818426,0.5189183718415112,0.4991104881228641
2,0.029345187238387523,0.5588176058873419,0.5747178003568678,0.5132103623722872,0.5401987031977913,0.5617789743312191,0.5107024846649474,0.5238218950794785,0.5484300327424407,0.5070416617641682
3,0.029266782044883696,0.6127682483370616,0.6163542941041835,0.550981931638512,0.5634666492024256,0.5970616192695979,0.5228600745135327,0.5363144677389248,0.5632743319000224,0.5024282987122848
4,0.02852870529938129,0.6736259367342963,0.6658756734648342,0.582967140784608,0.5925343303177565,0.6162287738656543,0.5440288269174506,0.5192068502938424,0.5556309322681181,0.5055516407823686
5,0.027079182166245677,0.7442555388536783,0.7341633260510941,0.6230143799905907,0.6295884216253193,0.6336014991527673,0.5476013563122043,0.4605794351939282,0.5003436276398269,0.4849182199174907
6,0.025713477058396224,0.7768570703751702,0.7654668499186487,0.7049384018558924,0.6367986695306809,0.6331537423696492,0.5759380990989817,0.4292885881089466,0.48057348708497793,0.451826411246209
7,0.02404572277690374,0.8085747853209321,0.8015234601624572,0.7307134569763446,0.6489978288379004,0.6383626174897684,0.5766364187058997,0.39563291119610805,0.4588423825460251,0.4636069427756061
8,0.02343160779245438,0.8237955827045416,0.817974171191147,0.7586365446301253,0.6529815619923448,0.6404414031022029,0.5855295067572929,0.3973595787494371,0.4655903277449713,0.4495956653058182
9,0.02246311840210711,0.8401822174962473,0.8380657065061793,0.7669048689016367,0.6573323398870082,0.642441586386281,0.5832076951245772,0.3774660772125082,0.4582365331699012,0.47079758145524825
10,0.021667894441634417,0.8472762936006774,0.8458515926570084,0.7384740720410133,0.6692541565678216,0.6547674177384518,0.5631073251211275,0.38413570486104864,0.45959397794836143,0.4714318308679057
11,0.021319215125854937,0.8617977235534082,0.8592946609246351,0.7823880082919182,0.6695377306481362,0.648339890700751,0.5971456467447307,0.3798165461249381,0.4557216679918936,0.46475969612134627
12,0.019948447791619167,0.8709001277655835,0.8687624814943661,0.7897567726375306,0.6813965380238092,0.6619295990060018,0.6074841909454359,0.3883569055804307,0.4627227938455543,0.4626841281162284
13,0.01935882641813688,0.8784479082424634,0.8780190123396133,0.79692472783736,0.6764095058101701,0.6473330368147325,0.6021748132184573,0.3893338157634553,0.4575895329840038,0.46070665893136276
14,0.018813216127455235,0.8859251086943914,0.8834948890055395,0.7986859927591934,0.6895768335029231,0.6590557185018515,0.6225088003581112,0.39507833311204354,0.4605663940412481,0.45115213366577644
15,0.018156602820982377,0.8928852029941821,0.8936449817978744,0.81228479451858,0.6911427222871607,0.6594629275321895,0.6047038838020359,0.38802432730385,0.4563171170581507,0.46335914960972774
16,0.01767051011143673,0.8962133402987708,0.8955254589842021,0.8085095044646816,0.6912189199460005,0.6542856569466864,0.5876678489293001,0.40325749800982874,0.4600852425652571,0.45934555602084576
17,0.01714297777582561,0.9038037220276834,0.9039489441990294,0.826539375205406,0.699792871248883,0.664404006540994,0.599351970013473,0.40867412469709324,0.46617721857020694,0.4627681215057637
18,0.016518113729093346,0.9102083039770158,0.9099023103956438,0.8317554949990474,0.7065119481138703,0.6710100515461518,0.6212908322264247,0.4098598823002421,0.46797475278303363,0.45004420946780166
