epoch,train_loss,val_AUC-ROC_S0,val_PR-AUC_S0,val_acc_S0,val_AUC-ROC_S1,val_PR-AUC_S1,val_acc_S1,val_AUC-ROC_S2,val_PR-AUC_S2,val_acc_S2
1,0.029427932380067724,0.5650948919290183,0.5541884744769194,0.5199368054482741,0.5489223222424163,0.5473580101975054,0.5135489184607036,0.5585577514042027,0.5849382776203718,0.5113420358504276
2,0.02870822510111236,0.7157203470075365,0.6900107644213328,0.6469182289851454,0.6488808645351004,0.6380476791764345,0.5876871232704485,0.6357492208867958,0.6639835864534618,0.5559157487156012
3,0.02571181451240855,0.8271998652193406,0.8216117995755299,0.7306984484769121,0.7524920330355257,0.7385913367566371,0.6662541024133407,0.6654096872019137,0.642134116812036,0.5895876247727099
4,0.021553555803914225,0.8760163948661279,0.8722617464712064,0.7805964081362431,0.7988785454584308,0.7869562996733663,0.7163016231547633,0.6579596353674038,0.6299252782559079,0.6253683412390869
5,0.01861146453677887,0.9041113268900208,0.9070967357684051,0.8079641543285667,0.8103377456815707,0.7957041818640214,0.6853139561908527,0.6292009591724588,0.6303088839333238,0.5319768893959178
6,0.01664710571358521,0.9163111452969496,0.9173447879243571,0.8422112816483814,0.8170016715477222,0.8025932691770356,0.7316771595930788,0.6113384460438849,0.617781100800971,0.571644144226299
7,0.015094285721950713,0.9358401018437741,0.9416326516960812,0.8538253920519181,0.8273006041159223,0.8184167828787349,0.7457274899829661,0.6072233993666409,0.6132085826337556,0.5783679939502536
8,0.013967874272155666,0.9433065736725083,0.9487240558723732,0.8773641341714421,0.8314535914417233,0.8198278230081191,0.7303168894942015,0.5939249704427745,0.6097102891963155,0.5488262300624782
9,0.01276700985768149,0.9481848706977417,0.9533897986255415,0.8607761541118465,0.8360256806030801,0.8244913621898285,0.6744927342911107,0.5893605069683947,0.6125000677113428,0.5452190899947702
10,0.011928520875141745,0.9557310883288149,0.9612867221883971,0.8732838285576555,0.8271677987656243,0.8169571978387159,0.6809623816733537,0.5637049715972285,0.5986006458161743,0.5422837049612395
11,0.01192550624029771,0.958624664241067,0.9640806574756736,0.891379924509989,0.8358114744551166,0.8258547215495432,0.7508974405502722,0.5741449139590376,0.6081188042698924,0.571141201625036
12,0.010763724845263266,0.9610519089327345,0.9656161851105892,0.897567759014935,0.8278589661868954,0.8168419094205037,0.7004267428001348,0.5388486041655581,0.5887732719530109,0.5428162289944529
13,0.010293224304463834,0.9654702442323545,0.9702887951340003,0.8957716409155843,0.8354385731397568,0.8287360777879575,0.7497912287337094,0.5516012902805058,0.6091564668613499,0.5687637190167888
14,0.009741854046531502,0.9664148104937362,0.9716046609824139,0.8558982856810946,0.8381828269757047,0.8337121456787855,0.7587609601071487,0.5523886985680474,0.6174155489358795,0.5650054486881385
15,0.009611315867533126,0.96967533210908,0.9744887957465868,0.8999457822037288,0.8382404160954134,0.834343200167749,0.7543064672008288,0.5363583296540689,0.6095595331086787,0.5791290047597785
16,0.009047525743353031,0.9717581048423882,0.9761411264089042,0.916613969700129,0.8348648845706282,0.8326778653367596,0.7149947994312473,0.522434359058044,0.6072255914866524,0.572285670199226
17,0.008804535016327376,0.9681595596403282,0.97215539714674,0.903729413464688,0.8390460481201973,0.8387950705565325,0.7513030382810705,0.5470028429332437,0.6277650483955378,0.5715203551243445
18,0.00883827415189796,0.9732238553236574,0.9776279751251198,0.8931916483681656,0.8261305430422086,0.8242490059772021,0.7395775992737026,0.505932881691908,0.5987373674111259,0.5781411207129263
19,0.008458421479219632,0.9733394350419226,0.9772142498060482,0.8983935029249154,0.8179700086825824,0.8148545351932158,0.6575237317748424,0.4912970532328799,0.5866638610492184,0.5340613832425676
