epoch,train_loss,val_AUC-ROC_S0,val_PR-AUC_S0,val_acc_S0,val_AUC-ROC_S1,val_PR-AUC_S1,val_acc_S1,val_AUC-ROC_S2,val_PR-AUC_S2,val_acc_S2
1,0.02938178381431968,0.9641854124556353,0.967518867684059,0.7267475788826151,0.8153943734160233,0.8128924664597478,0.5516093765063697,0.5561028315224057,0.5548223515081149,0.5003817424914442
2,0.021623464917103128,0.9749558928764125,0.9785692874387407,0.9164272844035231,0.8453661587009632,0.8304920430548199,0.5,0.5524657455032532,0.5374564129907704,0.5
3,0.00973591629806305,0.9770071477610525,0.980374708905553,0.9113251618042187,0.836772723932139,0.8158550517206572,0.5,0.5384412886793548,0.5232055673901945,0.5
4,0.008044766804819265,0.9779439430519206,0.9812164597070628,0.9166574036185974,0.8297379195613548,0.8063615679367725,0.5,0.5289720626235811,0.5176016206973377,0.5
5,0.007692412360601367,0.9784075264077068,0.9816615298814282,0.9271592725853359,0.8256668939215434,0.8016526736364129,0.5,0.525161582520415,0.5147638292590515,0.5
6,0.007360898607951258,0.9786883205974231,0.9819280364178247,0.9270396345416285,0.8235410059327273,0.7992338052153118,0.5,0.5223322372753475,0.514918224027367,0.5
7,0.007312391681836978,0.978874477884071,0.9821045045427572,0.9269275628887886,0.8245522422897236,0.8003079551971494,0.5,0.5190220738247664,0.5132460179385184,0.5
8,0.0073007178894664735,0.9790415687443736,0.9822797000919303,0.9298403549193808,0.8251956092854659,0.801434727005173,0.5,0.5165100256171126,0.5118612369430937,0.5
9,0.007194152300906999,0.979212092843008,0.9824080053084383,0.9248674501435192,0.8241292136137299,0.800571662210831,0.5,0.5156403293235966,0.5110963542311583,0.5
10,0.007091900632311139,0.9793558266519566,0.9825460978115794,0.9244479641868067,0.8256670582196991,0.802213795084124,0.5,0.5139547193211566,0.510069266706689,0.5
11,0.007092942448047501,0.9795376803157405,0.9827384492740032,0.9246913226977246,0.8262059530703861,0.8030833682987152,0.5,0.5122366441055051,0.5091973760369537,0.5
12,0.007107534357571914,0.9797275082177824,0.9829412680421796,0.9284756321565556,0.8266393738482591,0.8045691769929595,0.5,0.5112153147568481,0.5077370735623034,0.5
13,0.006957293715282914,0.9797481498986826,0.9829531692670072,0.9258393591396891,0.8265510261187654,0.8034944971670273,0.5,0.5089595196131227,0.5056596509196841,0.5
14,0.006896566088882184,0.9798655422308388,0.9830678908635183,0.9271620785754445,0.8261824611847611,0.8029132281710628,0.5,0.5087732293371159,0.5061274675754942,0.5
15,0.00682905959453614,0.9800046669287922,0.9832096641725245,0.9266488428574156,0.8268672931600483,0.8037034140034472,0.5,0.5073012590197272,0.505975391619004,0.5
16,0.006869790820224631,0.980234421818696,0.9834358998033179,0.9331231498287332,0.8256541366959821,0.8030274468021464,0.5,0.50834157455429,0.5068658997280285,0.5
