epoch,train_loss,val_AUC-ROC_S0,val_PR-AUC_S0,val_acc_S0,val_AUC-ROC_S1,val_PR-AUC_S1,val_acc_S1,val_AUC-ROC_S2,val_PR-AUC_S2,val_acc_S2
1,0.027385940114336628,0.9632796967844036,0.9673342595531846,0.8903408250125316,0.8859980610032567,0.8720544575465764,0.6887690561992328,0.6129975017179462,0.6095138933969546,0.5002577083584216
2,0.01023861098914377,0.9789067753580767,0.9826007009387286,0.9335076232981971,0.899030134370688,0.8915293817076948,0.7491614544569879,0.6024079095000607,0.6227317948279504,0.507746418880802
3,0.006856082367800897,0.9809642107328178,0.9838855685269855,0.9388795809698879,0.8982239655624376,0.8898911987345118,0.7692027082636999,0.5933885478479103,0.6081301402778418,0.5112746057427309
4,0.006108980009993238,0.9809971004095812,0.9838600174327633,0.9401495624206208,0.8981665677116436,0.8917547869565434,0.7607008734850191,0.5847160201976237,0.6106093104640278,0.5107078041794749
5,0.005983415602390925,0.9818072865363399,0.9846109735050551,0.9338544819971377,0.8981279574208194,0.8911793562709548,0.7629957964928674,0.5810656442645336,0.6022813761476516,0.5102158540415412
6,0.005762112102538888,0.981776351404373,0.9846354318301073,0.9372737254387912,0.8971887420265134,0.8904001030098431,0.760509043849794,0.5789717509215585,0.5959801077789725,0.5078034548939938
7,0.005618163566630814,0.9825371982390914,0.985335889020258,0.9434782768465012,0.8974482434016198,0.8914341475962582,0.7534812290606596,0.5866890491639543,0.6138010384016478,0.5156795260774412
8,0.005546179945550619,0.9825396241193274,0.9854235851690746,0.9368304619178562,0.8974008080950991,0.8914764148780298,0.7733826797508411,0.5804215371451059,0.6037281454381368,0.5121242192370994
9,0.00551395348062919,0.9828710763429517,0.9855503257992968,0.9405373198840704,0.8995460279702023,0.8940955958827013,0.7719783336180023,0.5888522741918208,0.6150822157239073,0.5183786621303729
10,0.005461966423618216,0.9825571499174024,0.985294315660799,0.9392028208135208,0.9000334515031752,0.895228978491751,0.7739012507883425,0.5916745773704605,0.6229198729892628,0.5189264991808527
11,0.005378814738979863,0.9828045066686963,0.985533516298796,0.9374660796318561,0.8979747985403795,0.8923818879982688,0.7698103688958498,0.5872538498207879,0.6222592940973524,0.5206918899157577
12,0.005253398066176282,0.9831496084571032,0.9858006983253712,0.9406621396917055,0.898110708158292,0.8928050907097648,0.7688313416477298,0.5972025450611151,0.6297782853138462,0.5223761923514413
13,0.005245375788710531,0.9828656958703826,0.9856069378653418,0.9427205270969032,0.8970594889288076,0.8919965674573388,0.7663764901271758,0.5921537317842762,0.6237891941731384,0.5224828778146465
14,0.005134235250748574,0.9831719218908836,0.985895497715422,0.9417820582212942,0.8966060734467796,0.8916543038824892,0.7546541183842606,0.5862496463857083,0.6182670579331442,0.5227442323506234
15,0.005062672127443817,0.9838722959909627,0.9865412432296847,0.9409894456370398,0.8983040748813297,0.8932666674304878,0.7696607013671196,0.5942498742914472,0.6261804566864663,0.5239108328626865
16,0.004950241548114366,0.9833943588259052,0.9860860608835332,0.9423708114979048,0.8964860521744913,0.8909689913962678,0.7590333010911313,0.5818428964375485,0.6179491342606848,0.5236183297444569
17,0.004852865552229266,0.9837725826306997,0.9865061338285624,0.9431497681421284,0.8974987131534604,0.8920144565697563,0.7587147152997913,0.5866449466218877,0.6217153349815742,0.5242138372967973
18,0.004898033754509543,0.9832005929623263,0.9856968168955959,0.9412626873528886,0.897237885719045,0.8925364962666041,0.754809743207096,0.5919509232041251,0.6286149791621923,0.5364114394543789
19,0.004846041501995416,0.9838976990757113,0.9864628129983699,0.9441835408732602,0.897762466689629,0.8927379822578306,0.7592020319031761,0.5883945216844515,0.6270625228517743,0.5357356323127159
20,0.004838230056432827,0.9833279420453374,0.9858091625620566,0.9415061141163378,0.8973045416154108,0.8919074347139514,0.7643988449918242,0.5922724129472002,0.628223572255804,0.5347311250609608
21,0.004792898778818668,0.984041664596016,0.9865272404488242,0.9420597548683537,0.8981729797011972,0.8928524058373691,0.7681822164118194,0.5939078131949,0.630074736276295,0.5376380725712901
22,0.004657730429185434,0.9836440521081526,0.9860996089257901,0.9430035134559516,0.8959507732930905,0.8907189459294585,0.7638191142310252,0.590809526257496,0.6278242793721263,0.5352008296272281
23,0.0047575966605255685,0.9840252808209622,0.9865412309824602,0.943470041277315,0.8975983388964505,0.8922115359542734,0.762741316774708,0.5969198102781438,0.6359882878464824,0.5353488053537601
24,0.004659291069519015,0.9838891683272178,0.98625883528265,0.9436714295557178,0.897400756814167,0.8918871283939567,0.7675862569389048,0.5953326429054598,0.6322697078577906,0.5402046584122275
25,0.004589675675942412,0.983898150210717,0.9863740783087532,0.9436447550609639,0.8980793088921716,0.893244481989681,0.7656670005732632,0.5942017326175187,0.6355791160862992,0.5402396904252716
26,0.004534289556285066,0.9839014135074585,0.9863194857472939,0.9439757725434601,0.8977743567620354,0.8925871724586462,0.7698522428019094,0.5983451745850181,0.6398636455220202,0.5428847976990135
27,0.004520905977715889,0.9839957137931086,0.9864139465916831,0.9447119755314872,0.8975804540739075,0.893124282250582,0.758633074457689,0.5946833558696448,0.6373935975820614,0.5364340497317299
28,0.004480442845247566,0.9843116420317432,0.9867589235850894,0.9440827884439138,0.8972729693381223,0.8921066699389179,0.7673370510746472,0.5957281044575197,0.6371990973920449,0.5415079442005849
29,0.004446803723582097,0.9844482611580472,0.9869487529160953,0.9456590923787414,0.8976213227614707,0.8922372918333626,0.7613724168920658,0.6024258519340708,0.6436211590287864,0.5418074697012308
30,0.0043082128076123135,0.9842888313465051,0.9867899421199847,0.9432156375806401,0.8969378726642364,0.891711485983821,0.7670874939862412,0.5960344215916519,0.6357943007002832,0.5418654644184067
31,0.004391966329421848,0.9846166130151752,0.9870611521098266,0.9441129803392482,0.8967093418629074,0.8912110809876992,0.7644078567532464,0.5949720740215718,0.6363760876975066,0.5433450098852798
32,0.004193950955185198,0.9843270462624145,0.9868466859345604,0.9439698419023049,0.8949125817689714,0.8896158847643598,0.7626345231370503,0.5926260624667756,0.6337652627816861,0.5423306357302364
33,0.004259103987996857,0.984416590616968,0.9867581255610534,0.9467631660027146,0.895751219599674,0.8906573362013223,0.7598698415441228,0.5964979867365056,0.6324076353810718,0.5374351207086211
34,0.00424107042471728,0.9841639751745443,0.986693837234768,0.9438842278789344,0.8957950993046669,0.8906878703345329,0.7585451839411124,0.5988027127993563,0.6383754775982221,0.5408792450117377
35,0.004186803321053665,0.9846342252639855,0.9871075187543521,0.9454143668220317,0.8961733271335035,0.8901601707409326,0.7600596193121588,0.5997768799405613,0.63577232604402,0.5362963607467895
36,0.004108698108241022,0.9845988936747804,0.987019786974814,0.9451396083705133,0.8954159336996231,0.8900292175823132,0.7621861002919951,0.6043777058757762,0.6412844742331083,0.5376682319082398
